nb_steps_1,PPO dense bs 256,PPO dense bs 64,SAC lr 0.001,SAC lr0.0003 bs 256,SAC lr0.0003 bs 64,generalised ppo,nb_steps
500,-284.29371,-273.173645,-281.055967,-280.761061,-272.819593,-178.843,500
1000,-273.173645,-290.967949,-278.157099,-286.370178,-275.147572,-422.598732,1000
1500,-290.967949,-279.839311,-277.277649,-286.265888,-313.911068,-122.938183,1500
2000,-279.839311,-275.002539,-263.272947,-281.051106,-310.419056,-452.023355,2000
2500,-277.986676,-276.125353,-255.113573,-264.20105,-315.840319,-414.90023,2500
3000,-279.533732,-274.997892,-275.990649,-270.214051,-303.593031,-312.989706,3000
3500,-278.533193,-260.285874,-262.019306,-282.621949,-290.32201,-157.357714,3500
4000,-262.949606,-257.733383,-236.583509,-279.994363,-292.735733,-385.437033,4000
4500,-263.089885,-271.642583,-215.119687,-251.056177,-293.338659,-168.396842,4500
5000,-276.781979,-273.878673,-206.587556,-263.2983,-277.32616,-98.23761,5000
5500,-279.631318,-260.986896,-193.47795,-282.099474,-289.175517,-376.185778,5500
6000,-266.862909,-256.023141,-192.533939,-277.389943,-263.412984,-416.136485,6000
6500,-263.745164,-263.650483,-179.838862,-261.251666,-265.963336,-273.704167,6500
7000,-271.78366,-279.21069,-109.843955,-265.77168,-299.896057,-232.979766,7000
7500,-287.13347,-264.14785,-68.657522,-271.214134,-323.371328,-238.131116,7500
8000,-271.889535,-245.218485,-58.453207,-266.590364,-306.330277,-291.280992,8000
8500,-258.175789,-258.988967,-58.05909,-276.234813,-290.325354,-170.085876,8500
9000,-274.063267,-258.847466,-59.20836,-257.420522,-310.089651,-164.963911,9000
9500,-274.041212,-253.647814,-56.082023,-251.081056,-243.176575,-120.251136,9500
10000,-268.355401,-243.525429,-53.766093,-251.470275,-247.463587,-403.251157,10000
10500,-261.538706,-239.216948,-55.652158,-277.431544,-274.1233,-345.837805,10500
11000,-260.088426,-239.010343,-60.126888,-277.364209,-233.961349,-242.178359,11000
11500,-258.530076,-235.012227,-59.159881,-260.246069,-247.055622,-345.55247,11500
12000,-256.777329,-235.114686,-58.460041,-252.92554,-250.688104,-270.933258,12000
12500,-259.734374,-237.519715,-57.313686,-216.847333,-283.657104,-363.248013,12500
13000,-263.815206,-239.328327,-57.488573,-225.75525,-273.477912,-514.153888,13000
13500,-266.421062,-236.297584,-57.76492,-244.002819,-251.498035,-158.484992,13500
14000,-264.882107,-229.047822,-57.910243,-269.310222,-238.552812,-301.14042,14000
14500,-259.73178,-224.188818,-56.815542,-292.413789,-273.188772,-414.766483,14500
15000,-257.872955,-217.210826,-55.261567,-248.512629,-193.796613,-237.35405,15000
15500,-248.35204,-236.028729,-55.075403,-209.319307,-181.686427,-354.538411,15500
16000,-268.29553,-237.991538,-56.122985,-195.169988,-170.907277,-520.443067,16000
16500,-270.198862,-216.308689,-55.061667,-188.765545,-152.386905,-489.45592,16500
17000,-251.232641,-221.300696,-48.003917,-180.265419,-113.552316,-290.448051,17000
17500,-259.110584,-230.813658,-47.164827,-157.046925,-104.116758,-253.859813,17500
18000,-266.940586,-211.301664,-48.161828,-140.907576,-100.694191,-436.69648,18000
18500,-245.862706,-208.2804,-51.961772,-120.833407,-96.551544,-466.900786,18500
19000,-246.72455,-211.057571,-66.718005,-106.587292,-76.154354,-344.19872,19000
19500,-252.312637,-202.077705,-72.779131,-89.896848,-69.707967,-446.750039,19500
20000,-240.266685,-212.465264,-63.493831,-73.040109,-67.067607,-326.452001,20000
20500,-251.67374,-208.3359,-76.064073,-61.654773,-72.05887,-394.166376,20500
21000,-248.488806,-207.07485,-73.143784,-55.127868,-82.438597,-344.477656,21000
21500,-250.666149,-199.017997,-52.766623,-54.940917,-74.594095,-128.549404,21500
22000,-241.968947,-198.780717,-59.3847,-54.036576,-59.453657,-190.52951,22000
22500,-243.059046,-204.898888,-64.918843,-55.679239,-74.966643,-458.526473,22500
23000,-253.897798,-206.325929,-65.900411,-53.334731,-63.411722,-108.474264,23000
23500,-252.318872,-210.358338,-62.46549,-55.520904,-75.933092,-352.182497,23500
24000,-256.42554,-198.692611,-72.473558,-57.04131,-60.870348,-458.192279,24000
24500,-245.479817,-205.346558,-95.849957,-57.077409,-63.826526,-377.673337,24500
25000,-257.331906,-204.733647,-79.954613,-58.09923,-58.277381,-248.20001,25000
25500,-252.749817,-203.179238,-57.731975,-57.384295,-56.071436,539.950269,25500
26000,-252.234538,-206.751876,-61.636404,-58.036503,-56.261345,-139.066571,26000
26500,-258.088621,-183.530331,-99.737562,-57.356938,-59.399472,-218.135832,26500
27000,-236.993171,-188.998687,-76.289185,-56.361056,-55.372453,-432.265213,27000
27500,-243.351227,-197.862707,-67.657522,-57.362058,-54.358763,-156.438406,27500
28000,-254.967039,-181.703035,-57.453207,-55.909184,-52.11184,-174.29808,28000
28500,-238.077559,-190.856253,-57.05909,-52.453011,-50.936678,-176.568672,28500
29000,-246.429459,-186.662063,-58.20836,-52.247718,-48.890244,-410.838313,29000
29500,-238.027735,-177.930166,-55.082023,-48.408569,-47.291179,-324.460958,29500
30000,-235.199061,-178.604715,-52.766093,-48.780928,-50.279447,-181.769689,30000
30500,-234.86177,-194.345926,-54.652158,-47.271292,-48.770871,-407.421836,30500
31000,-250.346604,-180.825488,-59.126888,-45.158644,-48.088618,-293.373583,31000
31500,-239.802276,-186.77403,-58.159881,-44.72404,-51.06431,-296.523776,31500
32000,-240.095179,-176.420602,-57.460041,-43.850432,-47.892945,-353.532405,32000
32500,-230.577941,-176.74609,-56.313686,-45.257204,-48.610857,-469.908622,32500
33000,-232.116193,-180.727419,-56.488573,-45.710045,-48.39666,-497.609707,33000
33500,-234.790728,-175.536518,-56.76492,-45.426438,-50.041595,-139.239118,33500
34000,-229.537729,-171.389789,-56.910243,-44.169015,-47.98539,-397.292533,34000
34500,-229.569508,-168.151564,-55.815542,-44.856496,-47.636674,-403.87209,34500
35000,-223.844514,-184.944561,-54.261567,-44.914215,-44.836088,-409.28466,35000
35500,-238.278312,-166.394729,-54.075403,-45.150023,-48.467492,-95.421682,35500
36000,-221.373688,-164.453554,-55.122985,-44.743422,-44.624128,-369.476874,36000
36500,-217.293392,-175.391336,-54.061667,-47.52379,-45.731647,-78.454527,36500
37000,-231.640373,-163.713879,-47.003917,-47.476787,-47.203741,-180.833131,37000
37500,-220.44287,-158.472017,-46.164827,-46.360191,-45.016643,-313.682683,37500
38000,-217.974091,-162.00739,-47.161828,-46.243378,-48.181359,-383.583188,38000
38500,-224.126303,-170.129837,-50.961772,-47.158302,-45.703528,-335.623891,38500
39000,-230.889476,-157.954632,-65.718005,-48.274128,-44.493682,-448.892512,39000
39500,-214.27301,-164.630199,-71.779131,-50.05105,-43.343574,-274.545069,39500
40000,-228.107043,-151.357502,-62.493831,-47.685561,-46.850414,-228.852231,40000
40500,-213.681797,-152.941429,-75.064073,-46.292831,-44.490333,-155.336114,40500
41000,-212.43886,-152.380448,-72.143784,-50.683568,-46.702669,-384.861945,41000
41500,-211.54909,-151.001512,-51.766623,-46.65282,-45.039938,-246.69111,41500
42000,-211.440428,-142.64745,-58.3847,-49.293597,-44.247154,-302.978261,42000
42500,-204.222806,-145.663149,-63.918843,-52.406704,-45.233073,-66.851176,42500
43000,-201.457345,-153.705415,-64.900411,-51.832994,-44.78781,-186.66444,43000
43500,-217.666804,-139.872732,-61.46549,-53.601563,-45.027616,-195.865733,43500
44000,-202.822273,-144.833936,-71.473558,-55.077462,-44.209507,-282.657013,44000
44500,-207.678849,-133.704785,-94.849957,-53.118586,-45.433898,-308.866135,44500
45000,-199.164972,-136.279925,-78.954613,-55.767285,-53.266978,-235.170477,45000
45500,-198.178196,-142.546643,-56.731975,-58.145317,-44.44591,-274.333365,45500
46000,-203.20663,-143.838343,-60.636404,-55.64291,-44.69163,-146.729048,46000
46500,-203.901127,-135.050208,-98.737562,-60.251375,-46.961674,-334.023258,46500
47000,-201.327544,-135.80467,-75.289185,-59.193139,-44.738097,-96.681641,47000
47500,-199.105805,-147.510939,-66.657522,-58.209973,-45.210218,-328.908127,47500
48000,-207.385375,-138.08702,-56.453207,-62.145961,-47.014202,-181.363074,48000
48500,-201.237758,-141.561904,-56.05909,-59.37887,-48.576414,-358.370623,48500
49000,-204.376692,-130.323356,-57.20836,-60.6757,-45.977709,-359.414609,49000
49500,-184.69944,-136.402659,-54.082023,-59.942059,-50.395326,-158.906689,49500
50000,-201.108262,-128.793181,-51.766093,-69.890318,-51.546189,-122.510886,50000
50500,-188.534392,-129.003587,-53.652158,-76.830265,-49.868108,-442.879543,50500
51000,-195.549391,-124.728754,-58.126888,-80.613711,-45.745958,-201.548095,51000
51500,-181.106826,-122.314788,-57.159881,-73.917976,-45.417069,-320.650006,51500
52000,-184.052974,-127.307547,-56.460041,-69.776862,-43.53846,-308.870454,52000
52500,-191.887639,-121.0207,-55.313686,-60.036578,-45.359366,-406.611295,52500
53000,-184.584421,-119.176449,-55.488573,-54.81913,-44.515497,-133.984636,53000
53500,-186.385624,-114.365268,-55.76492,-60.781491,-43.404693,-503.265137,53500
54000,-181.881629,-120.521922,-55.910243,-55.227185,-46.792984,-241.796874,54000
54500,-189.744378,-109.323608,-54.815542,-57.549947,-45.168931,22.463714,54500
55000,-176.335609,-110.700727,-53.261567,-55.039796,-44.019564,-113.444223,55000
55500,-178.996858,-113.94916,-53.075403,-53.842856,-44.611593,-86.54915,55500
56000,-189.8117,-119.164838,-54.122985,-55.915816,-45.236657,-290.382755,56000
56500,-190.010349,-108.258115,-53.061667,-56.466197,-44.260693,-201.402465,56500
57000,-181.317248,-102.869084,-46.003917,-59.716224,-48.123633,-188.408819,57000
57500,-170.459908,-104.460858,-45.164827,-62.89491,-49.954575,-112.93878,57500
58000,-173.460919,-105.192177,-46.161828,-54.909184,-46.129374,-377.30603,58000
58500,-171.943979,-103.193002,-49.961772,-51.453011,-44.428582,-271.840436,58500
59000,-169.275858,-105.92705,-64.718005,-51.247718,-44.176593,-234.657814,59000
59500,-176.645704,-102.234333,-70.779131,-47.408569,-46.533419,-142.377364,59500
60000,-174.996601,-108.68084,-61.493831,-47.780928,-46.33207,-331.196097,60000
60500,-176.053967,-100.873768,-74.064073,-46.271292,-44.048621,-121.11937,60500
61000,-171.542733,-103.908979,-71.143784,-44.158644,-42.41105,-317.221075,61000
61500,-175.500173,-100.29995,-50.766623,-43.72404,-44.120404,-231.499063,61500
62000,-175.504989,-106.36796,-57.3847,-42.850432,-44.977794,-303.630867,62000
62500,-178.03199,-100.759644,-62.918843,-44.257204,-45.224841,-289.166429,62500
63000,-173.363006,-97.269769,-63.900411,-44.710045,-44.668436,-392.278019,63000
63500,-167.829326,-92.737494,-60.46549,-44.426438,-45.974089,-385.067479,63500
64000,-166.998467,-89.285003,-70.473558,-43.169015,-46.178661,-378.57744,64000
64500,-159.219161,-90.028628,-93.849957,-43.856496,-44.552235,-388.164828,64500
65000,-166.005021,-94.956562,-77.954613,-43.914215,-46.821048,-306.178458,65000
65500,-170.082228,-84.010948,-55.731975,-44.150023,-44.128491,-360.913101,65500
66000,-164.107177,-91.676496,-59.636404,-43.743422,-43.411308,-109.318741,66000
66500,-164.434057,-88.267489,-97.737562,-46.52379,-48.893627,-306.018033,66500
67000,-163.106101,-90.947962,-74.289185,-46.476787,-47.335269,-280.547693,67000
67500,-160.803347,-86.462186,-65.657522,-45.360191,-47.379849,-182.697306,67500
68000,-154.274952,-77.53114,-55.453207,-45.243378,-44.980367,-196.671323,68000
68500,-139.396166,-82.901531,-55.05909,-46.158302,-45.98614,-205.476296,68500
69000,-149.199135,-82.114351,-56.20836,-47.274128,-45.556926,-195.603143,69000
69500,-148.03284,-83.761293,-53.082023,-49.05105,-44.328396,-391.49885,69500
70000,-155.830184,-77.146201,-50.766093,-46.685561,-47.192749,-340.581626,70000
70500,-141.736433,-84.401495,-52.652158,-45.292831,-46.412766,-311.702714,70500
71000,-155.487902,-76.128215,-57.126888,-49.683568,-46.210942,-380.842698,71000
71500,-145.187418,-85.029858,-56.159881,-45.65282,-48.703249,-472.021394,71500
72000,-159.336529,-75.022901,-55.460041,-48.293597,-51.494059,-354.351413,72000
72500,-145.278302,-82.629661,-54.313686,-51.406704,-49.43834,-148.526367,72500
73000,-160.488269,-74.560329,-54.488573,-50.832994,-49.28821,-399.030439,73000
73500,-149.062146,-72.335491,-54.76492,-52.601563,-48.798539,-150.584148,73500
74000,-148.001125,-71.611338,-54.910243,-54.077462,-46.297715,-186.319438,74000
74500,-140.39347,-68.332715,-53.815542,-52.118586,-45.903572,-392.516364,74500
75000,-136.592324,-73.52882,-52.261567,-54.767285,-47.855234,-305.064904,75000
75500,-146.456382,-72.71382,-52.075403,-57.145317,-47.887097,-428.526849,75500
76000,-143.801415,-71.261828,-53.122985,-54.64291,-48.125612,-445.797199,76000
76500,-141.64628,-74.356725,-52.061667,-59.251375,-45.278567,-162.527897,76500
77000,-146.503099,-74.615924,-45.003917,-58.193139,-45.54808,-376.21663,77000
77500,-143.134054,-74.12032,-44.164827,-57.209973,-49.552863,-382.210274,77500
78000,-146.148302,-71.338502,-45.161828,-61.145961,-50.542918,-340.128116,78000
78500,-150.953818,-72.448908,-48.961772,-58.37887,-50.600039,-241.373193,78500
79000,-146.000567,-65.93098,-63.718005,-59.6757,-46.206619,-367.190042,79000
79500,-136.706103,-68.507138,-69.779131,-58.942059,-46.386236,-275.034555,79500
80000,-138.719651,-69.45713,-60.493831,-68.890318,-48.51927,-350.35548,80000
80500,-135.308495,-63.877734,-73.064073,-75.830265,-49.104164,-449.808136,80500
81000,-131.588802,-63.304851,-70.143784,-79.613711,-47.657632,-308.967732,81000
81500,-129.972402,-66.849086,-49.766623,-72.917976,-46.416657,-365.448052,81500
82000,-136.454818,-65.553015,-56.3847,-68.776862,-47.044305,-256.404067,82000
82500,-128.573273,-62.862749,-61.918843,-59.036578,-45.805285,-190.474517,82500
83000,-138.885182,-63.757336,-62.900411,-53.81913,-46.848998,-376.651808,83000
83500,-129.250236,-67.727677,-59.46549,-59.781491,-46.900966,-257.452416,83500
84000,-137.797514,-63.013598,-69.473558,-54.227185,-50.673986,-379.002976,84000
84500,-126.597408,-59.610217,-92.849957,-56.549947,-53.310964,-399.86129,84500
85000,-124.915336,-64.94764,-76.954613,-54.039796,-51.373703,-241.315028,85000
85500,-128.08334,-63.828306,-54.731975,-52.842856,-49.9744,-122.446118,85500
86000,-121.360221,-66.79404,-58.636404,-54.915816,-46.746855,-389.936643,86000
86500,-133.329277,-62.255644,-96.737562,-55.466197,-50.021246,-190.449575,86500
87000,-126.937463,-67.72742,-73.289185,-58.716224,-49.716479,-356.691155,87000
87500,-139.880074,-61.705929,-64.657522,-61.89491,-48.979989,-338.536055,87500
88000,-128.567988,-58.894817,-54.453207,-53.909184,-48.378891,-117.35466,88000
88500,-118.128342,-57.817334,-54.05909,-50.453011,-49.910795,-312.900865,88500
89000,-111.281062,-59.845146,-55.20836,-50.247718,-47.181651,-328.460364,89000
89500,-121.69792,-61.749423,-52.082023,-46.408569,-49.000512,-456.31672,89500
90000,-124.577634,-58.34494,-49.766093,-46.780928,-49.189068,-156.167231,90000
90500,-120.43029,-58.991367,-51.652158,-45.271292,-50.961031,-201.999283,90500
