r,l,t
-287.588798,500,2.726038
-423.093391,500,3.26824
-136.059231,500,3.79893
-488.125812,500,4.273515
-428.264483,500,5.679471
-341.872405,500,6.163668
-252.138019,500,6.656027
-448.143671,500,7.215265
-167.6955,500,8.473477
-212.704764,500,8.995738
-407.204403,500,9.514317
-472.779312,500,10.00643
-359.857531,500,11.139473
-232.959514,500,11.683454
-337.983694,500,12.174118
-283.250939,500,12.719287
678.117331,500,13.823674
-258.127471,500,14.36125
708.885337,500,14.890024
-484.480022,500,15.407388
-388.199829,500,16.536705
-257.708857,500,17.057829
-382.784209,500,17.559818
-352.238405,500,18.114575
-416.361262,500,19.197004
-526.252365,500,19.76085
-157.897494,500,20.270273
-342.402651,500,20.778337
-477.586926,500,21.855254
-341.487135,500,22.37537
-412.493352,500,22.883118
-586.888405,500,23.403917
-534.767825,500,24.504506
-277.770517,500,25.084406
-347.881678,500,25.598731
-499.086238,500,26.106723
-470.215511,500,27.225151
-342.517754,500,27.779927
-448.332574,500,28.337595
-417.569754,500,28.865949
-423.669705,500,29.950887
-349.766895,500,30.523585
-228.719211,500,31.041676
-175.696145,500,31.604537
-460.152723,500,32.164798
-368.971111,500,33.288103
-431.143455,500,33.79687
-492.084602,500,34.291274
-451.995353,500,34.785834
-305.139149,500,35.82675
628.76277,500,36.320344
-130.058309,500,36.879029
-300.567024,500,37.371554
-473.610987,500,38.48442
-219.189013,500,38.981664
-357.47159,500,39.540631
-256.339428,500,40.032797
-469.223767,500,41.148321
-327.255502,500,41.72383
-222.056776,500,42.248803
-470.147355,500,42.755717
-324.546841,500,43.904385
-378.646741,500,44.434318
-396.494039,500,44.952534
-467.92152,500,45.498247
-553.631598,500,46.662836
-257.970177,500,47.175605
-451.732885,500,47.66991
-446.924674,500,48.170264
-461.845468,500,49.271233
-206.536739,500,49.767006
-353.757709,500,50.323896
-201.262656,500,50.816324
-228.683165,500,51.931322
-367.05562,500,52.427721
-447.854681,500,52.919066
-419.98506,500,53.410065
-497.707948,500,54.549454
-136.673732,500,55.114907
-317.750394,500,55.628177
-165.838593,500,56.163068
-458.034552,500,57.280119
-232.450142,500,57.795201
-372.054266,500,58.321551
-121.277878,500,58.820271
-211.055978,500,59.3176
-216.970152,500,60.457912
-290.793628,500,61.008821
-333.014271,500,61.500343
-309.887979,500,62.021892
-339.91413,500,63.136504
2526.45977,500,63.631309
-385.592779,500,64.121902
-229.721548,500,64.611595
-320.718576,500,65.771798
-244.646957,500,66.273059
-376.297615,500,66.766733
-420.460365,500,67.26283
-144.534712,500,68.466291
-175.315461,500,68.973066
-504.401153,500,69.472706
-218.762822,500,69.993167
-402.642185,500,71.058395
-354.268201,500,71.568633
-417.303869,500,72.059755
-191.438295,500,72.555607
-504.781971,500,73.671554
-303.392379,500,74.178171
693.685254,500,74.692954
-147.570824,500,75.21265
-147.98385,500,76.353063
-342.433882,500,76.879456
352.842531,500,77.390152
-222.58566,500,77.903026
-217.365123,500,79.001122
-423.057943,500,79.502187
-349.326854,500,79.996801
-264.291841,500,80.491744
-247.162648,500,81.601353
-351.241011,500,82.137536
3717.131375,500,82.632101
-323.117959,500,83.179329
-278.013882,500,84.270506
-323.952098,500,84.767453
-350.437452,500,85.258608
-429.571963,500,85.756409
-433.191517,500,86.834923
-368.596866,500,87.382771
-409.75418,500,87.927429
-335.218458,500,88.42562
-323.866949,500,89.008745
-126.558889,500,90.170563
-330.000927,500,90.756825
-278.702392,500,91.305991
-188.274694,500,91.872638
-273.56884,500,93.030581
-248.928443,500,93.523449
-197.20971,500,94.029826
-197.665522,500,94.58764
-354.469735,500,95.745314
-491.328804,500,96.358483
880.443546,500,96.86722
-319.364085,500,97.414955
-333.926937,500,98.591444
-204.633721,500,99.099361
-434.652407,500,99.588211
-193.432191,500,100.093202
-208.199733,500,101.242174
-407.492765,500,101.739612
-333.739085,500,102.269502
-449.608704,500,102.85327
-511.701329,500,103.984978
-129.965572,500,104.486618
-411.592658,500,105.004311
-439.791254,500,105.510821
-342.314663,500,106.657345
-286.305633,500,107.157066
-426.790795,500,107.652447
-310.200887,500,108.135832
-359.883987,500,109.235353
-489.28695,500,109.742069
-321.946279,500,110.298018
-399.097851,500,110.806472
-267.325693,500,111.90835
-186.269184,500,112.437407
-370.118095,500,112.974689
-270.235233,500,113.459384
-437.621266,500,114.537642
-355.636947,500,115.120573
-283.080351,500,115.611912
-122.12016,500,116.09027
-403.86088,500,116.570852
-150.464145,500,117.599843
-402.031915,500,118.079182
-357.829165,500,118.579675
-121.405191,500,119.143232
-334.689822,500,120.193972
-325.441903,500,120.798167
-515.163643,500,121.32027
-111.526514,500,121.830618
-229.320869,500,122.935984
-485.383775,500,123.448116
-334.369584,500,123.960116
-317.935471,500,124.454285
-174.734355,500,125.610543
-317.07188,500,126.150111
-154.571816,500,126.655052
-283.349836,500,127.133431
-233.267845,500,128.202128
-356.732921,500,128.715588
-18.355806,500,129.226773
-231.362496,500,129.771299
-218.228478,500,130.903321
-204.080182,500,131.384834
-357.780554,500,131.865567
-258.719448,500,132.352038
-289.304174,500,133.513893
-175.160498,500,134.028238
-459.289945,500,134.535669
-442.51268,500,135.063385
-200.681083,500,136.226154
-219.497565,500,136.782207
-208.702066,500,137.302981
-245.41015,500,137.82147
-282.14349,500,138.997052
-194.623109,500,139.5331
-228.299633,500,140.011498
-338.66569,500,140.491006
-297.166409,500,141.658533
2614.580656,500,142.203989
-449.302161,500,142.734765
-271.024501,500,143.237574
-299.823501,500,144.334189
-118.581263,500,144.858367
-311.870142,500,145.372633
-131.204452,500,145.934688
-337.482028,500,146.418786
-219.460648,500,147.440875
-263.169288,500,147.982116
-407.417398,500,148.490591
-192.719888,500,149.017118
-262.167652,500,150.137986
-192.942872,500,150.681772
-438.00379,500,151.206066
-255.349696,500,151.774442
-359.060907,500,152.916737
-315.654377,500,153.409557
780.229566,500,153.886739
-306.880897,500,154.365448
-242.070476,500,155.440485
-401.776524,500,155.955941
-319.867754,500,156.518936
-478.788987,500,157.096226
-408.042207,500,158.277866
-403.849419,500,158.800302
605.896933,500,159.299629
-487.258549,500,159.805886
-259.684031,500,160.92723
-107.262608,500,161.411008
-209.192636,500,161.948891
-328.445524,500,162.422722
-200.571217,500,163.57173
-181.393274,500,164.123737
-399.085798,500,164.64807
-329.691806,500,165.179644
-130.538847,500,166.27002
-398.819201,500,166.779985
-187.764168,500,167.365703
-402.358857,500,167.864923
-177.787347,500,169.006596
-200.879692,500,169.566581
-279.90721,500,170.053241
-150.601559,500,170.548579
-358.524349,500,171.645221
-345.539262,500,172.186311
-254.956301,500,172.679503
-380.971075,500,173.213653
-152.822319,500,173.696514
364.122676,500,174.785436
-234.628191,500,175.320777
-206.336956,500,175.7961
-182.744866,500,176.273916
-351.584305,500,177.358519
-141.337327,500,177.840842
569.080397,500,178.362147
-304.381555,500,178.860806
-389.146543,500,180.036046
-218.572834,500,180.535307
-224.161614,500,181.044278
-243.019865,500,181.613786
-151.780762,500,182.686553
3111.071836,500,183.169995
-256.468801,500,183.661797
-83.313249,500,184.158127
-373.231299,500,185.456159
-363.267351,500,185.969294
-288.612974,500,186.465861
-396.773191,500,186.976166
680.955512,500,188.03515
-192.550133,500,188.596779
-363.804527,500,189.175238
-361.114602,500,189.78772
-328.185473,500,190.996958
-198.138429,500,191.537141
-496.645892,500,192.093407
-248.442838,500,192.580083
-218.893981,500,193.658162
-205.07223,500,194.266424
-190.959062,500,194.783052
-312.584465,500,195.330983
-352.792341,500,196.502311
-248.689011,500,196.992098
-206.281863,500,197.532963
-439.751283,500,198.017248
-176.124175,500,199.093664
-196.813524,500,199.627037
-449.093002,500,200.148395
-318.883276,500,200.6896
-164.133495,500,201.25615
-234.268104,500,202.372153
-277.564143,500,202.92341
-272.791379,500,203.495295
-119.82643,500,204.043347
-362.373154,500,205.146586
-238.755405,500,205.714095
-170.92507,500,206.274295
-387.168575,500,206.756436
-268.801178,500,207.772833
-446.557596,500,208.25732
-401.352648,500,208.739696
-184.592004,500,209.221567
-272.20791,500,210.369281
-404.057315,500,210.853035
-146.0211,500,211.338003
-327.60829,500,211.822231
-268.521842,500,212.924941
-247.840691,500,213.408069
165.812547,500,213.890676
-373.285489,500,214.375904
-167.878488,500,215.479317
-265.578734,500,215.964354
-346.484006,500,216.510103
-68.789663,500,216.992178
-332.393559,500,218.095704
-423.592345,500,218.58073
-477.976338,500,219.143252
-10.988471,500,219.626994
-363.633352,500,220.785367
-371.441866,500,221.273232
-261.887091,500,221.828608
-448.801846,500,222.312388
344.852497,500,223.344439
-203.041708,500,223.825851
-314.830577,500,224.305091
-250.40148,500,224.795475
-200.546306,500,225.934214
-132.776376,500,226.529791
-187.250851,500,227.070809
-333.3054,500,227.552511
-53.695002,500,228.627999
-312.076028,500,229.1937
-401.725868,500,229.698586
-222.650112,500,230.18561
-204.498884,500,230.690694
-278.059731,500,231.916295
-286.87458,500,232.445174
-306.351002,500,233.021813
-203.863359,500,233.540196
-382.409847,500,234.589795
-380.051015,500,235.131743
-429.43362,500,235.629761
-130.228846,500,236.17291
-328.677571,500,237.201758
-161.616883,500,237.689401
-302.210304,500,238.179223
-287.9476,500,238.661949
-268.056795,500,239.688552
-258.345455,500,240.23153
-399.114226,500,240.715152
-338.54787,500,241.258349
-461.135562,500,242.320987
-319.382519,500,242.818961
-159.749225,500,243.305048
-403.21842,500,243.790921
-242.861606,500,244.904231
-258.038936,500,245.394496
-111.307144,500,245.881983
-367.212235,500,246.433258
-382.210928,500,247.516844
-213.657108,500,248.003259
-155.999679,500,248.487978
-336.099119,500,249.036407
380.481027,500,250.143252
53.899818,500,250.631081
-123.010935,500,251.1794
-362.658966,500,251.665182
-156.72431,500,252.762026
-348.331551,500,253.248946
-262.904238,500,253.738267
-127.364351,500,254.222229
-123.034414,500,255.279675
-269.094493,500,255.823414
-313.993982,500,256.373043
-419.358904,500,256.917589
684.490133,500,257.398621
-153.920778,500,258.48221
-341.670284,500,259.024982
-297.487779,500,259.507951
-135.515064,500,260.055647
-460.746345,500,261.110728
-521.538014,500,261.653515
-332.877441,500,262.135036
-285.760918,500,262.676146
-210.939607,500,263.772903
-206.051881,500,264.2577
-179.556893,500,264.740672
-297.570691,500,265.22057
-172.009174,500,266.320442
-279.577637,500,266.808696
-195.867119,500,267.313893
-364.246579,500,267.793839
-430.071351,500,268.953814
-226.003614,500,269.436344
-418.265991,500,269.917388
-293.323239,500,270.399865
-352.254,500,271.504589
-358.924091,500,271.992705
-182.746341,500,272.475875
-353.752804,500,273.029008
-163.680523,500,274.126965
-240.90768,500,274.613013
-188.88716,500,275.101986
-188.056462,500,275.641323
-114.165179,500,276.771946
-206.18415,500,277.259322
-210.978339,500,277.746275
-401.633256,500,278.228551
-357.570915,500,279.25954
-254.233763,500,279.741377
-434.247405,500,280.279285
-218.997215,500,280.83484
-276.874491,500,281.933085
-266.902829,500,282.418988
-297.016367,500,282.904617
-26.380217,500,283.382972
-245.190745,500,284.479348
-110.957537,500,284.97174
285.752475,500,285.456173
-393.489388,500,285.935044
-243.620463,500,286.417907
-452.24223,500,287.439846
-270.950752,500,287.926072
310.176032,500,288.409141
797.198623,500,288.89636
-252.884125,500,289.97692
-270.242063,500,290.460385
-435.712204,500,290.948178
-156.023259,500,291.426778
-223.212797,500,292.525474
-102.81393,500,293.016246
-233.030324,500,293.570969
-413.061256,500,294.112435
-133.056792,500,295.200386
-244.611094,500,295.684467
-197.732549,500,296.170891
-332.731463,500,296.651268
-175.855883,500,297.691582
-248.850833,500,298.248456
-214.579404,500,298.732867
-218.77811,500,299.220375
-375.8417,500,300.317159
-297.984635,500,300.803488
-310.413512,500,301.288808
-227.242782,500,301.769404
-236.581568,500,302.791659
-196.998117,500,303.337602
-262.230919,500,303.816898
-220.61211,500,304.313805
-170.858273,500,305.409133
-301.684838,500,305.896016
-195.456611,500,306.378245
-225.136222,500,306.857706
-427.827864,500,307.949712
-282.378754,500,308.436024
-187.862839,500,308.920192
-375.796439,500,309.39971
-183.451321,500,310.498948
-302.987435,500,310.986618
-299.398334,500,311.471314
-141.346609,500,311.952278
-310.37129,500,312.434672
-433.597145,500,313.536748
-82.02356,500,314.081606
-294.853133,500,314.562953
-289.158482,500,315.049829
-262.333115,500,316.149533
-310.635569,500,316.635679
-267.987134,500,317.120015
-329.537601,500,317.599036
-268.397042,500,318.695202
-290.908846,500,319.232658
-390.396638,500,319.712593
-144.902095,500,320.198589
-225.884338,500,321.362643
-207.831118,500,321.850533
-241.231958,500,322.392126
-159.873407,500,322.876555
-268.393753,500,323.895925
-147.566791,500,324.446117
-298.209873,500,324.927599
-220.926519,500,325.406482
-314.170352,500,326.468458
-473.223805,500,327.008162
-211.946809,500,327.48788
-329.438733,500,327.970745
-221.080068,500,329.129583
-205.307384,500,329.616832
-270.25912,500,330.173108
-131.185625,500,330.654165
-164.516577,500,331.704533
-193.736998,500,332.1886
-269.064199,500,332.671054
-196.726756,500,333.153384
-78.162781,500,334.201543
-150.366508,500,334.693075
-195.250898,500,335.20352
-183.744252,500,335.769152
-106.002807,500,336.962824
-320.439841,500,337.549616
-164.165374,500,338.108852
-454.349959,500,338.668726
-477.619508,500,339.254893
-183.706033,500,340.477102
-346.149659,500,340.994285
-282.22975,500,341.476517
-132.154701,500,341.966578
57.016109,500,343.080178
-271.940336,500,343.559458
-367.756003,500,344.039214
-301.132221,500,344.57337
-360.801851,500,345.668714
-157.586354,500,346.150539
-367.18704,500,346.630359
-7.100806,500,347.10851
-174.570971,500,348.327212
-231.79467,500,348.810159
-256.956667,500,349.301469
30.884275,500,349.782689
-267.259837,500,350.807316
-170.687103,500,351.293037
-252.509465,500,351.777194
-363.14402,500,352.257207
284.592273,500,353.277648
-152.818708,500,353.761565
-153.563203,500,354.304912
-170.044645,500,354.789965
-198.641827,500,355.849283
-337.96559,500,356.333143
-223.989452,500,356.816486
31.265082,500,357.294327
156.013799,500,358.32304
-186.020656,500,358.80603
-243.165357,500,359.286289
-333.426184,500,359.763818
-245.800932,500,360.780935
