r,l,t
-221.414993,500,3.285129
-338.244695,500,5.854211
-461.611178,500,8.517075
-373.908225,500,11.21201
-442.348941,500,13.733099
-479.516305,500,16.39929
-370.208581,500,19.0425
-471.403099,500,21.753569
-154.114246,500,24.339683
-386.563006,500,26.808052
-367.153427,500,29.384456
-361.319781,500,32.100662
-314.24904,500,34.836695
-330.406441,500,37.446657
-169.047777,500,39.827399
-295.681016,500,42.560941
-384.602485,500,45.448651
-329.275876,500,48.448844
-196.73595,500,51.06908
-133.608145,500,53.622534
-225.006922,500,56.333192
-167.189714,500,58.783623
-357.892309,500,61.15313
-203.024965,500,63.470242
-336.346284,500,65.957873
-134.313538,500,68.486464
-266.042331,500,71.201212
-403.405281,500,73.854686
-155.52818,500,76.166404
-261.300094,500,78.630604
-222.39584,500,81.123896
-211.727466,500,83.493764
-451.704833,500,85.856731
-184.875174,500,88.507611
-257.770172,500,91.174008
-326.732784,500,93.892492
-203.069013,500,96.520036
-174.674704,500,98.879787
-247.183456,500,101.451032
-250.535287,500,104.033505
-363.945784,500,106.543986
-175.726267,500,109.210071
-340.373127,500,111.872474
-247.466278,500,114.576313
-260.019649,500,117.204374
-217.608176,500,119.555711
-343.476678,500,121.876738
-285.89023,500,124.255348
-274.624201,500,127.000611
-362.337304,500,129.698933
-175.286181,500,132.369206
-178.375029,500,135.041491
-279.080479,500,137.705775
-153.364195,500,140.347983
-236.936716,500,142.958662
-169.561151,500,145.622392
-208.388102,500,148.341424
-357.718793,500,151.047047
-360.17602,500,153.706935
-187.828293,500,156.410184
-260.859131,500,159.109514
-139.423202,500,161.53935
-146.169019,500,163.942357
-303.17377,500,166.602915
-237.636703,500,169.316763
-163.52789,500,171.602823
-176.370277,500,173.981353
-181.849786,500,176.641602
-266.620406,500,179.30571
-310.923494,500,181.987384
-334.036596,500,184.66807
-238.897193,500,187.295456
-181.786979,500,189.619854
-246.025018,500,192.183914
-378.334319,500,194.512693
-246.076153,500,196.877337
-258.183686,500,199.576056
-313.247853,500,202.283124
-282.912095,500,204.814384
-265.199794,500,207.168045
-169.524855,500,209.546949
-235.353852,500,212.223755
-221.681737,500,214.715447
-333.883141,500,217.095677
-268.73159,500,219.813491
-472.306723,500,222.434691
-258.058685,500,225.030514
-241.189974,500,227.753296
-364.714581,500,230.473074
-305.401241,500,233.147849
-461.487849,500,235.837634
-161.347718,500,238.518803
-296.056722,500,241.25795
-159.681012,500,243.934097
-194.275053,500,246.597905
-192.243323,500,249.214387
-250.501028,500,251.540615
-235.540146,500,253.893078
-294.958803,500,256.217641
-238.072594,500,258.922669
-259.418598,500,261.641093
-327.418928,500,264.35948
-239.958171,500,267.00185
-284.323,500,269.380534
-346.199477,500,271.693665
-193.640241,500,274.003233
-291.802258,500,276.640429
-265.035037,500,279.3608
-178.656801,500,282.030217
-238.039199,500,284.736762
-189.573694,500,287.395689
-249.512327,500,290.118012
-154.463821,500,292.797903
-130.133319,500,295.489714
-238.224386,500,298.14852
-209.979228,500,300.519913
-363.761121,500,302.875036
-132.615697,500,305.265192
-235.89352,500,307.586416
-145.216972,500,309.89744
-294.450477,500,312.248164
-124.943205,500,314.592647
-147.700074,500,317.038486
-186.131848,500,319.352257
-158.754532,500,321.713309
-111.513723,500,324.065384
-213.901864,500,326.406611
-167.796059,500,328.740098
-318.042191,500,331.088241
-396.874483,500,333.453454
-161.324193,500,335.963056
-256.394491,500,338.329624
-263.050833,500,340.638353
-289.272606,500,342.992659
-225.439081,500,345.334806
-135.664564,500,347.633113
-167.492224,500,350.009384
-189.857156,500,352.379127
-366.80892,500,354.715889
-207.623803,500,357.026243
-217.19826,500,359.335515
-222.313296,500,361.692653
-299.862553,500,364.058052
-243.693199,500,366.42844
-246.944807,500,368.794467
-254.81106,500,371.109093
-225.934829,500,373.460184
-146.641478,500,375.811685
-72.478095,500,378.167561
-196.914378,500,380.47889
-133.544557,500,382.794137
-229.033587,500,385.162198
-213.120101,500,387.517575
-222.224766,500,389.903127
-386.22586,500,392.569897
-149.80442,500,394.897745
-236.454443,500,397.344412
-282.510076,500,400.004452
-187.174456,500,402.694822
-95.553596,500,405.406304
-154.31324,500,408.062166
-216.137767,500,410.722625
-171.069416,500,413.426168
-256.744064,500,416.127163
-332.507241,500,418.780631
976.164203,110,419.53524
-205.91859,500,422.193579
-164.494749,500,424.895109
-113.238078,500,427.293941
-158.238065,500,429.849394
-93.461774,500,432.233876
-235.801728,500,434.543059
-257.565309,500,436.872318
-181.523022,500,439.159655
-84.229667,500,441.477047
-176.382749,500,443.763113
-124.345916,500,446.259637
-288.720964,500,448.919762
-185.60736,500,451.577349
-245.153714,500,454.282242
-158.91633,500,456.943654
-190.983324,500,459.330049
-169.224203,500,462.027739
-215.634951,500,464.691706
-238.069872,500,467.309479
-117.421252,500,469.726862
-108.645567,500,472.211357
-177.591137,500,474.748444
-128.042592,500,477.411312
-101.842056,500,480.12165
-228.446266,500,482.818002
-215.242023,500,485.474672
-108.955228,500,488.174623
-156.318691,500,490.837006
-146.944305,500,493.227381
-301.720659,500,495.869559
-142.130603,500,498.178337
-102.326892,500,500.599846
-144.854027,500,503.330372
-170.633855,500,505.878852
-80.332216,500,508.537789
-178.770474,500,511.195982
-101.939866,500,513.903558
-158.84562,500,516.562416
-196.627488,500,519.258011
-178.551401,500,521.640949
-232.15205,500,524.278132
-217.684996,500,526.827146
-119.982612,500,529.493754
-219.681831,500,532.219754
-322.677901,500,534.932563
-109.016058,500,537.596943
-123.661245,500,540.298895
-123.504852,500,542.870101
-90.581741,500,545.308195
-105.758927,500,547.897048
-96.082017,500,550.245578
-222.437428,500,552.637291
-261.473882,500,554.962818
-94.186459,500,557.474054
-276.493291,500,560.141806
