r,l,t
-269.880267,500,2.76968
-128.271415,500,5.28831
-486.45247,500,8.028882
-192.509874,500,10.557289
-349.336484,500,13.003466
-205.170067,500,15.548103
-207.816611,500,18.377151
-269.72297,500,21.162764
-400.58313,500,23.932822
-340.411748,500,26.406861
-183.426403,500,29.124467
-317.685037,500,31.525773
-165.136416,500,33.911755
-334.166477,500,36.354513
-270.498434,500,38.806086
-248.073235,500,41.206555
-132.166148,500,43.717828
-350.225905,500,46.659548
-246.997274,500,50.078734
-143.887231,500,53.027586
-361.231072,500,56.027564
-295.235262,500,58.974282
-219.940343,500,61.885615
-261.534995,500,64.746314
-318.279756,500,67.645533
-259.537766,500,70.384351
-257.880527,500,72.948151
-272.672398,500,75.50173
-152.970156,500,78.124489
-216.384353,500,80.521321
-116.496684,500,83.041515
-105.250201,500,85.764109
-188.695268,500,88.634151
-225.523166,500,91.10468
-264.712344,500,93.774959
-191.706196,500,96.528622
-242.129417,500,99.179033
-196.213035,500,101.996601
-220.357356,500,104.770853
-340.069607,500,107.601609
-226.89531,500,110.293807
-440.535234,500,113.050707
-298.537241,500,115.953741
-318.228118,500,118.451036
-176.843754,500,121.216411
-252.375757,500,123.937663
-222.357033,500,126.696248
-179.429787,500,129.415565
-258.762061,500,132.139741
-309.942554,500,135.097645
-187.143316,500,137.914981
-151.827298,500,140.584935
-288.455729,500,143.496063
-177.480583,500,146.149146
-362.378074,500,148.924251
-57.806015,500,151.519653
-318.256268,500,154.052225
-192.827925,500,156.503881
-273.905742,500,159.253106
-373.576564,500,162.004184
-287.746787,500,164.719538
-263.250894,500,167.733346
-170.650179,500,170.89602
-283.581956,500,173.767855
-120.601126,500,176.624604
-208.691923,500,179.282873
-151.363417,500,181.94391
-173.983245,500,184.610745
-334.064507,500,187.23997
-153.392369,500,189.746159
-289.629721,500,192.356541
-299.673626,500,195.238601
-166.811896,500,198.016397
-174.945553,500,200.816271
-306.501683,500,203.673992
-293.895785,500,206.599633
-152.832616,500,209.330467
-73.292412,500,212.11695
-196.257171,500,214.85452
-229.836243,500,217.303678
-264.086964,500,219.810058
-123.167246,500,222.507956
-272.424346,500,224.991836
-327.76224,500,227.724013
-192.058607,500,230.470349
-196.126016,500,233.209835
-304.652851,500,235.782988
-170.532719,500,238.537978
-181.264831,500,241.116154
-353.872158,500,243.935728
-47.535958,500,246.578008
-126.551981,500,249.145055
-55.554884,500,251.765619
-302.07188,500,254.340389
-200.899902,500,257.003076
460.136743,500,259.551856
-298.875301,500,262.199476
-216.270156,500,264.659532
-221.248581,500,267.279434
-170.618582,500,270.059628
-329.088401,500,272.82059
