#{"t_start": 1720045124.0417886, "env_id": "None"}
r,l,t
0.0,500,3.597548
0.0,500,6.669089
13075000.0,500,9.90138
0.0,500,12.519393
0.0,500,15.144207
0.0,500,18.159589
13575000.0,500,21.698715
0.0,500,24.762283
0.0,500,27.500169
14075000.0,500,30.54356
0.0,500,33.741196
0.0,500,36.797393
14575000.0,500,40.001346
0.0,500,43.120727
0.0,500,46.945148
0.0,500,49.850913
0.0,500,52.771235
0.0,500,55.682083
0.0,500,58.374215
0.0,500,61.190092
0.0,500,63.979124
0.0,500,66.796534
0.0,500,69.411277
0.0,500,72.146585
0.0,500,75.02223
0.0,500,77.779608
0.0,500,80.4243
0.0,500,83.360223
0.0,500,86.271371
0.0,500,89.051084
0.0,500,91.601741
0.0,500,94.290295
0.0,500,97.196431
0.0,500,99.907873
0.0,500,102.614534
0.0,500,105.372668
0.0,500,108.070704
0.0,500,110.727447
0.0,500,113.658899
0.0,500,116.352315
0.0,500,119.181698
0.0,500,121.891816
0.0,500,124.909246
0.0,500,127.747847
15075000.0,500,130.515511
0.0,500,133.414792
0.0,500,136.310497
0.0,500,139.011035
0.0,500,141.662098
0.0,500,144.474702
0.0,500,147.214762
0.0,500,150.085468
0.0,500,152.982077
0.0,500,155.65515
0.0,500,158.312612
0.0,500,161.117658
0.0,500,163.990093
0.0,500,166.887575
0.0,500,169.611052
0.0,500,172.425092
0.0,500,175.191735
0.0,500,178.066552
0.0,500,180.952058
0.0,500,183.932046
0.0,500,186.807389
0.0,500,189.714218
0.0,500,192.541673
0.0,500,195.318418
0.0,500,198.105815
0.0,500,200.788164
0.0,500,203.554815
0.0,500,206.522317
0.0,500,209.143085
0.0,500,211.709403
15575000.0,500,214.330982
0.0,500,217.223861
0.0,500,219.788113
0.0,500,222.348965
0.0,500,225.353829
0.0,500,228.07294
0.0,500,230.627177
0.0,500,233.206349
0.0,500,235.940255
0.0,500,238.763636
0.0,500,241.573549
0.0,500,244.273419
0.0,500,247.254502
0.0,500,250.097745
0.0,500,252.705868
0.0,500,255.492604
0.0,500,258.382143
0.0,500,261.012995
0.0,500,263.600405
0.0,500,266.385915
0.0,500,268.973456
0.0,500,271.71616
0.0,500,274.396924
0.0,500,277.258403
0.0,500,280.140055
0.0,500,282.677496
0.0,500,285.418564
0.0,500,288.124695
0.0,500,290.925776
0.0,500,293.857474
0.0,500,296.642219
0.0,500,299.405486
0.0,500,302.147881
0.0,500,304.87578
0.0,500,307.799186
0.0,500,310.421897
0.0,500,313.012732
0.0,500,315.898402
0.0,500,318.758003
0.0,500,321.435972
0.0,500,324.03251
0.0,500,327.036294
0.0,500,329.688087
0.0,500,332.343084
0.0,500,334.970345
0.0,500,337.815534
0.0,500,340.536782
0.0,500,343.405092
0.0,500,346.383459
0.0,500,349.244656
0.0,500,352.155995
0.0,500,354.977944
0.0,500,357.672812
0.0,500,360.271348
0.0,500,363.130183
0.0,500,366.043069
0.0,500,369.011774
0.0,500,371.626947
0.0,500,374.480206
0.0,500,377.261654
0.0,500,379.956065
0.0,500,382.651846
0.0,500,385.348432
0.0,500,388.096853
0.0,500,390.815978
0.0,500,393.362346
0.0,500,395.987493
0.0,500,398.722827
0.0,500,401.415556
0.0,500,404.039351
16075000.0,500,407.065678
0.0,500,409.864227
0.0,500,412.493492
0.0,500,415.193348
0.0,500,418.02675
0.0,500,420.841027
0.0,500,423.738693
0.0,500,426.789299
0.0,500,429.758706
0.0,500,432.641666
0.0,500,435.469203
0.0,500,438.116104
0.0,500,440.752685
0.0,500,443.380827
0.0,500,446.124615
0.0,500,448.983947
0.0,500,451.683367
0.0,500,454.364734
0.0,500,457.293464
0.0,500,459.97775
0.0,500,462.71322
0.0,500,465.592349
0.0,500,468.286674
0.0,500,470.861257
0.0,500,473.464268
0.0,500,476.317607
0.0,500,479.084119
0.0,500,481.620549
0.0,500,484.148138
0.0,500,487.015722
0.0,500,489.906534
0.0,500,492.452563
0.0,500,495.01437
0.0,500,497.9198
0.0,500,500.745941
0.0,500,503.48155
0.0,500,506.087729
0.0,500,508.91078
0.0,500,511.825697
0.0,500,514.727973
0.0,500,517.420878
0.0,500,520.208328
0.0,500,522.742745
0.0,500,525.531969
0.0,500,528.21612
0.0,500,531.091184
0.0,500,533.765883
0.0,500,536.528093
0.0,500,539.379775
0.0,500,542.145133
0.0,500,544.775486
0.0,500,547.602125
0.0,500,550.295895
0.0,500,553.025105
0.0,500,555.682303
0.0,500,558.570613
0.0,500,561.523025
0.0,500,564.407971
0.0,500,567.264013
0.0,500,570.004984
0.0,500,572.662816
0.0,500,575.224415
0.0,500,578.066899
0.0,500,580.904398
0.0,500,583.813546
0.0,500,586.519778
0.0,500,589.478648
0.0,500,592.386992
0.0,500,595.110009
0.0,500,598.014321
0.0,500,600.81883
0.0,500,603.476952
0.0,500,606.032566
