#{"t_start": 1720054265.2362587, "env_id": "None"}
r,l,t
0.0,500,2.992362
0.0,500,5.811852
1100.0,1,6.396849
1200.0,1,7.051324
1300.0,1,7.607368
0.0,500,10.979574
0.0,500,13.843404
1100.0,1,14.353929
1200.0,1,14.840427
1300.0,1,15.321552
0.0,500,18.12036
1100.0,1,18.613694
1200.0,1,19.122492
0.0,500,21.948538
0.0,500,24.586042
0.0,500,27.295121
1100.0,1,27.804533
1200.0,1,28.324139
1300.0,1,28.824458
0.0,500,31.585423
1100.0,1,32.072659
0.0,500,34.676533
1100.0,1,35.163633
1200.0,1,35.657547
0.0,500,38.341575
0.0,500,41.239342
1100.0,1,41.728849
1200.0,1,42.219141
0.0,500,44.878756
1100.0,1,45.369189
1200.0,1,45.862548
0.0,500,48.646795
1100.0,1,49.151826
1200.0,1,49.645139
1300.0,1,50.140101
0.0,500,52.654045
1100.0,1,53.141848
1200.0,1,53.626873
1300.0,1,54.122029
0.0,500,56.979697
1100.0,1,57.478724
0.0,500,60.209404
0.0,500,62.855012
0.0,500,65.667311
1100.0,1,66.154668
1200.0,1,66.643634
0.0,500,69.440496
1100.0,1,69.938686
0.0,500,72.777054
1100.0,1,73.264227
0.0,500,75.94503
0.0,500,78.76881
1100.0,1,79.282192
1200.0,1,79.781106
1300.0,1,80.282259
1400.0,1,80.777139
0.0,500,83.649388
1100.0,1,84.154243
1200.0,1,84.646069
0.0,500,87.272728
0.0,500,90.164989
0.0,500,92.74299
1100.0,1,93.230996
1200.0,1,93.720204
1300.0,1,94.202713
1400.0,1,94.696207
1500.0,1,95.188656
0.0,500,98.018066
0.0,500,100.751988
2100.0,1,101.243893
2200.0,1,101.734751
2300.0,1,102.224354
0.0,500,105.003321
2100.0,1,105.496617
0.0,500,108.126901
0.0,500,110.895977
0.0,500,113.748406
2100.0,1,114.238475
2200.0,1,114.73718
2300.0,1,115.221502
2400.0,1,115.715371
2500.0,1,116.205032
3100.0,1,116.691094
0.0,500,119.423837
0.0,500,122.374706
3100.0,1,122.885228
3200.0,1,123.374008
3300.0,1,123.864184
0.0,500,126.725759
0.0,500,129.329432
0.0,500,131.961118
0.0,500,134.563386
0.0,500,137.107659
0.0,500,140.00935
0.0,500,143.007663
3100.0,1,143.532261
3200.0,1,144.040901
0.0,500,146.869954
0.0,500,149.564119
0.0,500,152.245991
0.0,500,155.081299
0.0,500,157.969585
0.0,500,160.879201
0.0,500,163.820537
3100.0,1,164.313876
3200.0,1,164.803941
0.0,500,167.704175
3100.0,1,168.194052
3200.0,1,168.692719
0.0,500,171.640522
0.0,500,174.341022
3100.0,1,174.826984
0.0,500,177.497682
0.0,500,180.440702
0.0,500,183.12419
0.0,500,185.778593
0.0,500,188.405213
0.0,500,191.40946
3100.0,1,191.945472
0.0,500,194.790528
3100.0,1,195.284098
0.0,500,198.084965
3100.0,1,198.578786
3200.0,1,199.081319
0.0,500,202.004901
0.0,500,204.892508
0.0,500,207.599101
0.0,500,210.593842
0.0,500,213.250612
0.0,500,215.818639
3100.0,1,216.307966
0.0,500,219.005211
3100.0,1,219.505757
3200.0,1,220.000178
3300.0,1,220.509232
3400.0,1,221.015062
0.0,500,223.836184
0.0,500,226.327306
0.0,500,228.923661
0.0,500,231.668783
3100.0,1,232.158535
0.0,500,235.086393
0.0,500,237.939434
0.0,500,240.831074
0.0,500,243.61565
0.0,500,246.225117
0.0,500,248.929237
0.0,500,251.891447
0.0,500,254.761712
0.0,500,257.30932
3100.0,1,257.793954
3200.0,1,258.289728
0.0,500,261.272952
0.0,500,263.982205
0.0,500,266.749317
0.0,500,269.352052
0.0,500,272.180952
3100.0,1,272.698963
0.0,500,275.488656
3100.0,1,275.975799
0.0,500,278.743653
0.0,500,281.304764
0.0,500,284.169665
0.0,500,286.858543
0.0,500,289.490624
0.0,500,292.28442
0.0,500,294.794801
0.0,500,297.326026
3100.0,1,297.816374
3200.0,1,298.300049
0.0,500,301.275818
3100.0,1,301.770176
0.0,500,304.72847
3100.0,1,305.20883
0.0,500,307.887085
0.0,500,310.533134
0.0,500,313.352951
0.0,500,316.049295
0.0,500,318.753926
0.0,500,321.401179
3100.0,1,321.913031
3200.0,1,322.426496
0.0,500,325.247058
0.0,500,327.901049
0.0,500,330.53868
0.0,500,333.248908
0.0,500,335.787054
0.0,500,338.637898
0.0,500,341.48679
0.0,500,344.327383
0.0,500,346.951947
0.0,500,349.631187
0.0,500,352.502177
0.0,500,355.449424
3100.0,1,355.92948
0.0,500,358.476328
0.0,500,361.157898
0.0,500,364.01421
3100.0,1,364.502192
3200.0,1,364.993033
0.0,500,367.598434
0.0,500,370.265861
0.0,500,373.033386
3100.0,1,373.529789
0.0,500,376.284927
0.0,500,378.985822
0.0,500,381.830608
0.0,500,384.708336
0.0,500,387.590607
0.0,500,390.16595
0.0,500,392.953669
3100.0,1,393.449726
0.0,500,396.271322
0.0,500,399.12359
3100.0,1,399.615004
0.0,500,402.456177
3100.0,1,402.95925
0.0,500,405.91992
3100.0,1,406.409137
0.0,500,409.214164
3100.0,1,409.705918
3200.0,1,410.197532
0.0,500,413.119845
0.0,500,415.957239
0.0,500,418.473925
0.0,500,421.115435
0.0,500,424.114392
3100.0,1,424.610726
3200.0,1,425.098838
0.0,500,427.863609
0.0,500,430.550458
3100.0,1,431.044728
3200.0,1,431.543759
3300.0,1,432.059328
0.0,500,434.631851
0.0,500,437.506561
3100.0,1,437.987189
0.0,500,440.804804
0.0,500,443.43715
0.0,500,446.325486
3100.0,1,446.820027
3200.0,1,447.311276
3300.0,1,447.791645
0.0,500,450.469813
0.0,500,453.381603
0.0,500,456.046723
0.0,500,458.521386
0.0,500,461.337052
3100.0,1,461.854044
0.0,500,464.909259
0.0,500,467.62544
0.0,500,470.529103
3100.0,1,471.013402
3200.0,1,471.522852
0.0,500,474.420009
3100.0,1,474.916973
0.0,500,477.618779
0.0,500,480.482942
3100.0,1,480.975841
0.0,500,483.93452
0.0,500,486.586798
3100.0,1,487.078541
3200.0,1,487.575974
3300.0,1,488.062525
3400.0,1,488.548125
0.0,500,491.351099
3100.0,1,491.861278
0.0,500,494.571438
0.0,500,497.20554
0.0,500,499.81019
0.0,500,502.788582
0.0,500,505.639364
0.0,500,508.571018
0.0,500,511.512595
0.0,500,514.38831
