r,l,t
-267.263263,500,4.102564
-312.758344,500,6.763978
-441.348067,500,9.580842
-492.777043,500,12.494177
-208.157186,500,15.051327
-275.238186,500,17.79526
-210.812948,500,20.652245
-401.169536,500,23.473719
-143.675158,500,26.27257
-339.033585,500,29.117997
4.998005,381,31.323122
26.343967,333,33.133485
-438.827501,500,35.719754
64.140039,158,36.858575
-308.917155,500,39.696622
-132.135756,500,42.340642
-475.318751,500,45.215826
-246.173236,500,48.108125
-401.395544,500,50.644017
-261.68697,500,53.337683
-247.425433,500,56.170815
-361.807518,500,59.038844
14.365774,266,60.623933
-458.690409,500,63.33585
-284.427415,500,66.335047
-325.508695,500,69.033609
-273.045212,500,71.899616
-188.198066,500,74.667061
-169.558395,500,77.581222
-365.728416,500,80.444944
-268.831947,500,83.130349
-243.008123,500,85.825848
-360.12102,500,88.3481
-434.093315,500,91.077232
-113.940566,468,93.691988
-151.029694,500,96.306288
-109.283812,500,99.139799
-168.471848,500,102.077318
-333.103678,500,104.567154
-231.540534,500,107.020088
-138.39266,500,109.408718
-292.93713,500,111.798548
87.010109,52,112.252362
-46.448409,426,114.558671
-199.989761,500,117.298015
-272.151717,500,120.012398
-222.187092,500,122.402623
-329.764944,500,124.781759
-208.128165,500,127.216287
-298.898242,500,129.644732
-44.548849,460,132.564741
-327.597388,500,135.379774
-181.841607,500,138.773636
-268.02844,500,142.132007
-254.706748,500,145.088119
-305.903756,500,148.277799
-210.865405,500,151.223395
-177.793031,500,153.797952
-317.904548,500,156.768195
16.060225,279,158.499184
-306.093737,500,161.22617
-183.679539,500,163.779644
-313.468513,500,166.583251
-326.419876,500,169.403949
-420.37473,500,173.146972
-403.856173,500,175.998585
-184.169529,500,178.714442
-176.991096,500,181.254809
-374.555387,500,183.757096
-272.050787,500,186.15364
-206.055301,500,188.895543
12.726283,319,190.520279
-328.920401,500,193.029992
-390.928243,500,195.685556
-209.797922,500,198.336333
-232.831995,500,200.710652
-244.170766,500,203.443078
49.702268,149,204.532025
-325.413868,500,207.792047
-224.947487,500,210.953727
-282.588354,500,214.113415
-178.00065,500,217.403967
-371.889699,500,220.570191
-156.425056,500,223.468218
88.042737,37,223.889277
-213.852164,500,226.79467
-144.920706,500,229.662354
-232.511554,500,232.591875
-363.798351,500,236.220711
-236.041622,500,239.465885
-189.839243,500,242.577717
-343.747666,500,245.680656
-210.496543,500,248.751248
-273.950552,500,251.590517
-285.449599,500,254.253223
58.523586,228,255.544575
-126.878179,500,259.04716
-293.630525,500,261.972504
93.677772,22,262.367794
-187.915301,500,265.423139
-225.872764,500,268.200116
-333.033703,500,271.098889
37.571404,151,272.093765
-175.45553,500,274.779417
-25.674348,372,276.67839
-178.194758,500,279.374701
10.10759,351,281.428241
-57.483558,488,284.013186
-258.144888,500,286.854422
44.624449,144,287.737555
-244.20455,500,290.441144
-136.118851,500,293.351534
-273.910449,500,295.865535
-214.662922,500,298.359063
88.991166,57,298.852921
-224.209197,500,301.372285
71.564806,86,301.999738
-195.657885,500,304.794086
-263.216859,500,307.36431
-16.75893,347,309.136011
-302.358387,500,311.656133
-270.711475,500,314.482996
-171.129285,500,317.548938
-273.025523,500,320.337141
-252.95861,500,323.220294
-192.360488,500,325.947457
20.047485,227,327.351943
-164.719752,500,330.083913
-238.177837,500,333.509061
-177.833357,500,336.69314
78.160908,39,337.215224
-188.495243,500,340.713383
-438.890259,500,343.25578
-146.113882,500,346.167247
-227.640399,500,349.118019
-204.705637,500,351.775831
-285.301276,500,354.369283
-24.918039,416,356.805966
-427.046431,500,359.878634
-278.222754,500,362.826697
-377.167485,500,365.67302
-197.274421,500,368.5515
-256.619777,500,371.036004
-206.703758,500,374.245706
-171.182649,500,377.199626
-215.478281,500,380.25908
-64.756253,384,382.703094
-168.469768,500,385.817304
-234.260315,500,388.878032
87.617255,34,389.464052
-331.459031,500,392.394493
-290.748722,500,395.548635
-86.602003,500,398.556975
-169.060187,500,401.447683
-197.674395,500,404.832174
92.889014,27,405.292526
-255.192599,500,408.319383
-258.763851,500,411.151211
-135.265155,500,414.437856
-125.851371,500,416.973593
-228.250273,500,419.613162
35.55752,294,421.305569
-210.577801,500,424.659351
-247.356777,500,428.052663
59.348418,157,429.301523
-223.640278,500,432.069888
-161.954548,500,435.154713
-163.548751,500,438.343384
-311.492891,500,441.949688
-375.046388,500,445.496486
-218.320939,500,448.266261
-163.350108,500,451.095048
-186.868236,500,453.891222
-337.161651,500,456.852265
-294.211034,500,459.661824
-287.999144,500,462.384762
-99.543172,438,464.685038
-230.350753,500,467.176241
51.213605,118,467.995691
-240.099273,500,470.734964
-312.811983,500,473.436649
-244.148338,500,475.958728
-253.930835,500,478.590315
70.641869,101,479.350577
-192.307734,500,482.053819
-303.723976,500,484.942363
-119.839969,500,487.68141
91.976703,38,488.091619
96.175953,21,488.427085
-173.276101,500,491.15186
-176.658501,500,493.826749
-194.19261,500,496.425861
-189.131836,500,499.306515
53.86913,203,500.562837
-229.372767,500,503.49211
-444.171523,500,506.36816
-219.772314,500,509.176952
-238.156153,500,511.579109
-102.16278,500,514.130932
-171.023151,500,517.044759
-176.445264,500,520.055789
-331.541126,500,522.731874
-212.154264,500,525.367474
91.048862,21,525.696909
-258.356883,500,528.337363
-162.467241,500,531.042745
-339.30961,500,533.86239
-293.277038,500,536.577472
-226.829397,500,539.722857
-188.607647,500,542.40334
-184.813359,500,545.687241
-247.212281,500,548.665678
-273.233631,500,551.386503
21.424393,309,553.026465
-241.696762,500,555.551528
-207.880452,500,558.173113
-416.364305,500,561.029166
-171.509133,500,563.742133
-150.78861,500,566.448359
-383.169553,500,569.1836
-277.144341,500,571.904574
66.06872,205,573.269107
-148.199699,500,576.052004
87.863205,40,576.503389
-202.888813,500,579.492372
-363.81965,500,582.492298
-275.097743,500,585.397264
-147.195342,500,588.111305
-191.465542,500,590.854298
-162.557233,500,593.323797
-99.982957,500,596.128339
-252.300903,500,598.641082
-174.338652,500,601.10479
-135.542129,500,603.816168
-264.306472,500,606.215697
-331.046757,500,608.654761
-239.664216,500,611.105551
60.391063,152,612.118454
-240.922628,500,614.836864
-366.353117,500,617.762752
-308.370345,500,621.019043
-283.271569,500,624.34115
-404.031779,500,627.449728
-331.530242,500,630.494027
-208.444505,500,633.450912
-209.039176,500,636.620318
-174.859293,500,639.693879
-307.020029,500,642.7472
-136.272907,500,646.162514
-232.84891,500,650.064101
-246.194013,500,653.180472
-179.072231,500,656.152152
-286.98874,500,659.049819
-254.975775,500,661.706369
-196.690184,500,664.982746
-234.400275,500,668.04282
-99.577996,500,671.100315
-203.778072,500,674.304024
-263.10826,500,677.31406
45.372863,209,678.722318
-311.458461,500,681.259406
80.345933,108,682.012232
-110.052755,500,684.525789
-150.307696,500,687.153395
-180.269901,500,689.730993
-267.430391,500,692.330426
95.583232,32,692.704723
-256.81353,500,695.332898
-311.606288,500,698.236303
-440.981557,500,700.778113
30.444183,298,702.301848
63.267999,112,703.021263
-197.869102,500,705.465168
44.409906,157,706.542044
-274.753473,500,709.312216
-213.496951,500,712.137433
-314.132987,500,714.859253
73.041808,101,715.550458
90.957188,41,715.979592
-255.322953,500,718.486717
-320.058946,500,721.112949
-170.621975,500,723.876503
-334.692693,500,726.848025
-298.725481,500,729.88329
-229.508977,500,732.722543
-197.237706,500,735.943119
-318.123579,500,738.974361
-380.432414,500,741.730591
-242.114299,500,745.418686
-91.874155,500,749.1596
-161.825784,500,752.04077
9.356548,432,754.281517
-239.690462,500,757.05713
-302.885028,500,759.797032
-162.659952,500,762.330634
-138.292901,500,765.124428
-233.952516,500,768.002631
-219.390032,500,770.734924
99.035695,8,771.007024
-463.528637,500,773.694667
54.197471,141,774.627971
-150.576971,500,777.104912
-132.98092,500,779.705067
34.193178,259,781.338222
-137.294346,500,784.109554
-243.1674,500,786.869748
-191.277666,500,789.474685
91.104422,31,789.845764
-267.767588,500,792.277724
-145.452235,500,794.806576
-175.371759,500,797.572524
-139.775508,500,800.318139
-145.059697,500,802.891366
-359.769779,500,805.405502
64.87198,191,806.590348
-274.537201,500,809.041568
-121.497185,500,811.688597
-398.489045,500,814.420994
-353.974309,500,817.262867
-268.775661,500,819.82876
-413.908706,500,822.458428
-347.301697,500,825.560601
-157.248216,500,828.559057
-209.495366,500,831.648134
-168.878582,500,834.749694
88.808036,54,835.319743
-234.499191,500,838.424274
3.287279,333,840.453547
-281.458113,500,843.286031
-233.757837,500,845.994416
-131.444788,500,848.87723
-129.130851,500,851.858144
-200.650086,500,854.797675
-265.500403,500,857.791881
-390.165324,500,860.658639
85.225746,71,861.257217
-51.969114,354,863.192358
22.859788,350,865.170806
75.222915,128,865.981547
-298.320654,500,868.618211
-442.05597,500,871.154892
91.491068,34,871.54426
-199.175834,500,874.010374
88.283544,39,874.449232
-332.50805,500,877.085828
95.571108,20,877.425612
-89.396086,500,880.164578
-266.334984,500,882.831394
-146.911739,500,885.365171
-330.182209,500,888.2698
-210.860489,500,890.917608
-206.427143,500,893.571551
-190.472055,500,896.331368
-154.498475,500,898.85956
94.875539,13,899.173325
-146.588134,500,901.69158
-423.087087,500,904.512641
-144.072062,500,907.279217
-127.55154,500,909.9814
-40.592012,490,912.613562
-156.494054,500,915.132543
-369.530081,500,917.823395
81.160327,100,918.724852
-264.428824,500,921.894082
-242.478588,500,924.843515
-209.699394,500,927.556572
-170.772795,500,930.0728
-158.666681,500,932.848595
-179.615379,500,936.402344
-125.101833,500,940.197789
92.95728,33,940.610598
46.466263,254,942.280325
94.250555,22,942.671695
81.169162,94,943.449198
88.291041,23,943.842369
-129.765928,500,946.856933
88.955171,33,947.330064
46.031819,177,948.639735
-184.223826,500,951.937558
-272.226406,500,955.728882
-105.050265,500,960.008628
-144.45057,500,963.103168
-232.119601,500,965.937793
86.30209,86,966.697438
-170.048303,500,969.466978
13.305929,413,971.850727
50.152678,162,973.033082
97.398316,10,973.434528
-524.978466,500,977.045208
-127.602558,500,979.95098
58.962671,197,981.410991
-160.125152,500,984.211602
-174.368898,500,986.789532
48.352028,236,988.568458
84.074756,73,989.21562
74.422236,102,990.137631
-345.740513,500,992.938868
-306.97534,500,996.046566
-96.010723,500,999.192307
-141.76087,500,1002.826617
-33.161615,473,1006.039212
-185.108625,500,1009.017067
-137.975263,500,1012.675041
-182.306615,500,1015.87848
-288.288,500,1018.673057
81.419614,44,1019.135836
-228.990144,500,1022.122143
-197.710587,500,1025.121844
-19.648918,401,1027.444634
76.685242,128,1028.334473
