r,l,t
-269.880267,500,4.64522
-128.271415,500,7.360027
-486.45247,500,9.763107
-192.509874,500,12.181682
-349.336484,500,14.64255
-205.170067,500,16.994891
-207.816611,500,19.345532
-269.72297,500,21.662535
-400.58313,500,23.986777
-340.411748,500,26.298213
-183.426403,500,28.5921
-317.685037,500,30.963961
-165.136416,500,33.426478
-334.166477,500,35.746594
-270.498434,500,38.139351
-248.073235,500,40.694174
-132.166148,500,43.060441
-350.225905,500,45.796541
-246.997274,500,48.715562
-143.887231,500,51.208603
-361.231072,500,53.591383
-295.235262,500,55.959932
-219.940343,500,58.321821
-261.534995,500,60.691611
-318.279756,500,63.115324
-259.537766,500,65.781898
-257.880527,500,68.322427
-272.672398,500,70.734833
-152.970156,500,73.180427
-216.384353,500,75.643223
-116.496684,500,78.040352
-105.250201,500,80.732221
-188.695268,500,83.427276
-225.523166,500,86.121399
-264.712344,500,88.823287
-191.706196,500,91.532365
-242.129417,500,94.288381
-196.213035,500,97.0456
-220.357356,500,99.801937
-340.069607,500,102.217883
-226.89531,500,104.611394
-440.535234,500,107.022785
-298.537241,500,109.39392
-318.228118,500,111.776709
-176.843754,500,114.345475
-252.375757,500,116.959362
-222.357033,500,119.4707
-179.429787,500,122.190175
-258.762061,500,124.642104
-309.942554,500,127.320538
-187.143316,500,130.07709
-151.827298,500,132.736887
-288.455729,500,135.108916
-177.480583,500,137.816453
-362.378074,500,140.559968
-57.806015,500,143.272311
-318.256268,500,146.034687
-192.827925,500,148.74053
-273.905742,500,151.383954
-373.576564,500,153.816411
-287.746787,500,156.527642
-263.250894,500,159.196857
-170.650179,500,161.563725
-283.581956,500,164.15242
-120.601126,500,166.868981
-208.691923,500,169.467076
-151.363417,500,172.173957
-173.983245,500,174.670858
-334.064507,500,177.005361
-153.392369,500,179.343308
-289.629721,500,181.724637
-299.673626,500,184.092506
-166.811896,500,186.426228
-174.945553,500,188.779413
-306.501683,500,191.138829
-293.895785,500,193.569484
-152.832616,500,195.916149
-73.292412,500,198.254851
-196.257171,500,200.592698
-229.836243,500,202.928192
-264.086964,500,205.263253
-123.167246,500,207.969926
-272.424346,500,210.446697
-327.76224,500,212.802134
-192.058607,500,215.153907
-196.126016,500,217.542313
-304.652851,500,220.102895
-170.532719,500,222.676645
-181.264831,500,225.107377
-353.872158,500,227.855788
-47.535958,500,230.561036
-126.551981,500,233.265068
-55.554884,500,235.787197
-302.07188,500,238.142724
-200.899902,500,240.590248
460.136743,500,242.977278
-298.875301,500,245.652968
-216.270156,500,248.359727
-221.248581,500,250.820027
-170.618582,500,253.225082
-329.088401,500,255.688616
-180.074357,500,258.151982
-215.450969,500,260.87681
-88.086852,500,263.584711
-165.4545,500,266.1136
-193.800166,500,268.501948
-383.125698,500,270.853667
-330.08248,500,273.512902
-293.29504,500,275.940181
-111.796017,500,278.330246
-158.054561,500,280.921651
-264.030574,500,283.348021
-191.312316,500,285.733431
-146.142182,500,288.086828
-201.462336,500,290.477371
-158.131862,500,292.943228
-393.983174,500,295.428031
-161.063108,500,298.01228
1587.834853,500,300.334975
-168.989965,500,302.796099
-110.60675,500,305.116857
-485.183209,500,307.438269
