#{"t_start": 1720015202.6002817, "env_id": "None"}
r,l,t
0.0,500,7.483143
0.0,500,16.847745
500000.0,500,24.695566
0.0,500,32.291312
0.0,500,40.564852
0.0,500,50.004433
1000000.0,500,59.383741
0.0,500,67.611151
0.0,500,76.636019
1500000.0,500,85.2888
0.0,500,94.728617
0.0,500,103.875287
2000000.0,500,113.278117
0.0,500,121.914635
0.0,500,130.63424
0.0,500,140.021413
0.0,500,149.165031
0.0,500,157.564852
0.0,500,166.930755
0.0,500,176.289677
0.0,500,184.98465
0.0,500,194.334692
0.0,500,204.003433
0.0,500,212.288382
0.0,500,220.911949
0.0,500,230.088415
0.0,500,239.166428
0.0,500,248.173639
0.0,500,257.598422
0.0,500,267.217644
0.0,500,276.378539
0.0,500,285.9821
0.0,500,294.998554
0.0,500,303.618414
0.0,500,312.063574
0.0,500,321.486976
0.0,500,330.90926
0.0,500,340.314883
0.0,500,348.438117
0.0,500,357.809091
0.0,500,366.847976
0.0,500,375.842034
0.0,500,384.518445
0.0,500,393.88422
2500000.0,500,403.130752
0.0,500,411.592482
0.0,500,421.296798
0.0,500,430.76248
0.0,500,440.295571
0.0,500,449.751268
0.0,500,458.857536
0.0,500,468.403644
0.0,500,477.898771
0.0,500,487.436922
0.0,500,496.764434
0.0,500,505.474599
0.0,500,514.758296
0.0,500,524.042554
0.0,500,532.461075
0.0,500,541.546355
0.0,500,551.089966
0.0,500,560.361834
0.0,500,569.270026
0.0,500,577.852811
0.0,500,586.208268
0.0,500,595.511943
0.0,500,605.051387
0.0,500,614.553772
0.0,500,623.983861
0.0,500,633.621431
0.0,500,642.43662
0.0,500,650.995074
0.0,500,659.725761
0.0,500,668.56065
3000000.0,500,678.241652
0.0,500,687.600919
0.0,500,696.722956
0.0,500,705.664471
0.0,500,715.122455
0.0,500,724.287874
0.0,500,734.110709
0.0,500,743.169699
0.0,500,751.334752
0.0,500,760.192448
0.0,500,769.355626
0.0,500,778.737202
0.0,500,788.051478
0.0,500,796.920769
0.0,500,806.260368
0.0,500,814.910254
0.0,500,823.441366
0.0,500,832.234268
0.0,500,840.935873
0.0,500,849.866584
0.0,500,858.48267
0.0,500,867.300638
0.0,500,876.365097
0.0,500,885.512127
0.0,500,895.285354
0.0,500,904.663224
