#{"t_start": 1719374611.6037557, "env_id": "None"}
r,l,t
426.292306,500,5.661574
428.927,500,12.298142
432.678953,500,20.52123
431.844474,500,28.887128
430.622519,500,37.041566
430.854349,500,44.563394
439.005887,500,52.460622
423.308154,500,60.543706
430.272313,500,68.921348
457.660412,500,77.045122
432.72558,500,85.054096
429.026174,500,92.924981
449.13142,500,101.042727
433.500212,500,108.277562
441.755734,500,115.79056
423.934426,500,123.864316
436.233295,500,131.846479
441.3388,500,139.25225
441.26315,500,146.979104
432.940586,500,154.885221
431.732871,500,162.634816
426.434299,500,170.261974
433.255532,500,178.444391
420.036895,500,186.17141
424.538243,500,194.29907
432.480515,500,202.383158
432.510035,500,209.059903
427.299385,500,216.826392
438.457864,500,224.126683
434.212854,500,231.980944
443.663005,500,239.85318
426.816338,500,248.008518
429.848297,500,255.226708
430.293443,500,262.571337
438.892275,500,270.440013
439.359564,500,278.17296
440.449156,500,285.48175
427.409051,500,293.59332
432.320384,500,301.29795
432.57249,500,308.840292
430.76149,500,316.047657
432.423509,500,324.007437
425.200238,500,330.75342
443.697092,500,338.464081
451.462743,500,346.195438
431.418251,500,354.344623
435.931487,500,361.316571
428.54535,500,368.475855
427.738199,500,375.693127
441.227413,500,383.272371
427.059483,500,390.866003
427.253873,500,398.176998
445.226961,500,406.258416
422.838771,500,414.524968
430.826986,500,421.829581
434.185249,500,429.265295
432.869391,500,437.275923
430.068911,500,445.27842
440.351936,500,453.026081
426.373427,500,460.490133
450.397659,500,468.282919
430.107462,500,475.607588
446.021748,500,483.49222
443.722092,500,491.141748
432.158436,500,498.580615
427.81824,500,506.518335
421.874894,500,514.146171
434.492088,500,521.960449
441.695429,500,529.389975
426.343861,500,537.218423
449.116694,500,545.386871
437.291078,500,553.404642
433.041542,500,560.933633
431.332996,500,568.396023
454.115252,500,576.256791
435.150787,500,584.347657
423.515476,500,592.139756
438.009844,500,599.598461
431.62917,500,607.460723
432.627779,500,615.085371
439.966373,500,622.093205
437.366446,500,630.13987
450.170586,500,637.767713
429.003109,500,645.779384
437.72492,500,653.229022
427.59514,500,660.641026
431.869497,500,668.723666
437.164637,500,676.503676
432.928053,500,684.374635
425.266196,500,692.268529
438.732952,500,699.966075
438.343783,500,707.847193
443.955438,500,715.800802
426.566,500,723.672771
429.867992,500,731.823898
431.173571,500,739.359511
429.727762,500,747.210562
427.127461,500,754.770347
430.516724,500,763.014787
425.671761,500,770.240872
426.164695,500,777.749781
438.417042,500,785.791011
432.209703,500,793.035288
435.166164,500,801.267449
434.926523,500,808.984291
454.383791,500,816.108915
426.317231,500,824.190303
422.931946,500,832.30901
426.924686,500,840.365307
423.404532,500,847.876158
434.703835,500,856.037655
450.019697,500,863.234352
437.559102,500,870.748612
434.219717,500,878.460392
434.886547,500,886.546864
441.007182,500,893.676021
447.849973,500,901.204225
450.957057,500,909.367026
446.034716,500,917.305872
432.502632,500,925.510079
439.583175,500,933.602109
429.813004,500,941.492966
435.789034,500,949.254462
429.341583,500,956.747582
439.736804,500,964.144904
429.538106,500,972.382475
442.847384,500,980.195994
434.144343,500,987.780291
429.370484,500,995.923936
433.091758,500,1004.01237
425.465231,500,1012.362802
434.202081,500,1020.500613
435.684671,500,1028.417272
428.7173,500,1036.176051
433.480351,500,1043.888504
437.477765,500,1051.174785
433.008307,500,1059.314406
430.587926,500,1067.712403
436.776447,500,1076.168396
433.450476,500,1084.374847
440.393837,500,1092.328097
440.581455,500,1100.16248
439.909863,500,1108.293483
439.60033,500,1116.695234
460.633841,500,1124.997326
429.003548,500,1132.566286
434.164636,500,1140.479412
433.296972,500,1148.63208
442.799243,500,1156.302703
423.175896,500,1164.603463
444.095372,500,1172.907556
436.046192,500,1181.341044
441.034182,500,1190.040804
424.196974,500,1198.696973
425.943741,500,1207.405916
435.059208,500,1215.916378
435.026355,500,1224.465405
429.447306,500,1233.262484
430.578526,500,1241.949973
431.495722,500,1250.353888
420.445587,500,1259.257316
426.227217,500,1268.433797
427.970032,500,1276.763824
429.52185,500,1285.833752
435.018267,500,1294.469703
420.638519,500,1303.156999
433.053637,500,1311.858884
440.246378,500,1320.85409
426.824677,500,1329.367828
447.470607,500,1337.386581
435.906006,500,1345.127642
437.589315,500,1353.733923
429.872539,500,1362.477075
431.590461,500,1370.833886
424.527724,500,1379.753938
438.492431,500,1388.658715
424.631391,500,1396.90155
430.181616,500,1405.676647
421.395738,500,1413.878506
440.23322,500,1422.83278
435.424504,500,1430.858407
419.483848,500,1439.402821
429.921274,500,1448.003342
416.026988,500,1456.82087
444.775623,500,1466.03945
434.709132,500,1474.904777
431.601853,500,1483.50932
434.929111,500,1492.38648
444.029538,500,1501.030807
440.100588,500,1510.141793
428.823018,500,1518.32169
429.185959,500,1526.611121
459.574798,500,1535.294888
432.190554,500,1544.194974
425.141276,500,1552.960996
434.681503,500,1561.964314
434.935647,500,1570.939342
431.716444,500,1579.441516
459.253037,500,1588.039155
425.215465,500,1596.453778
428.772216,500,1604.894926
445.446493,500,1614.209815
432.369455,500,1622.736196
427.542404,500,1631.060352
436.552767,500,1639.294727
430.85348,500,1648.096057
451.099575,500,1655.806282
420.629159,500,1664.54763
430.119408,500,1672.618864
441.313172,500,1681.132725
441.862541,500,1689.816534
434.576167,500,1698.50456
432.215515,500,1707.60789
448.892405,500,1716.544364
428.954675,500,1724.793864
422.610214,500,1733.651669
426.230339,500,1741.941391
438.020401,500,1750.677822
441.302806,500,1758.592839
425.136671,500,1767.396846
445.196122,500,1776.079888
428.426699,500,1784.563798
436.733569,500,1793.400701
428.30403,500,1801.694813
440.705241,500,1810.565958
438.468524,500,1819.255344
461.79213,500,1828.282366
432.849063,500,1837.096072
433.719318,500,1845.748375
459.068285,500,1854.057698
430.923243,500,1862.560436
429.709002,500,1871.753585
428.223155,500,1880.657709
431.21709,500,1889.805061
432.989058,500,1898.321438
430.082944,500,1907.5936
427.608513,500,1915.855646
440.04364,500,1924.914144
421.827769,500,1933.724012
430.620029,500,1942.91596
442.648152,500,1951.346789
431.898216,500,1959.972152
455.130531,500,1969.044376
429.168718,500,1977.55495
437.128545,500,1986.286856
436.696975,500,1994.752661
430.009418,500,2003.978815
436.67748,500,2012.572539
444.44842,500,2021.763649
443.384913,500,2030.942911
440.744363,500,2038.867591
451.411591,500,2047.890409
461.419124,500,2056.547886
427.208329,500,2064.861321
427.992057,500,2073.953683
431.644788,500,2082.932009
429.126498,500,2092.126995
426.620524,500,2100.329064
430.1511,500,2109.249195
430.214885,500,2118.530288
428.946367,500,2127.47962
433.861232,500,2136.871903
435.861755,500,2146.044428
442.740602,500,2155.623666
441.98568,500,2164.494946
440.493038,500,2173.807306
428.70731,500,2182.812452
451.786507,500,2192.313924
440.332453,500,2201.492736
437.102196,500,2210.65153
434.103437,500,2219.186575
435.376373,500,2228.198657
446.722436,500,2236.985146
441.558615,500,2246.082366
457.695632,500,2254.569174
427.7928,500,2262.854302
449.390991,500,2271.910687
434.779443,500,2281.036687
420.912314,500,2289.864757
442.229581,500,2299.060492
429.082296,500,2307.305074
433.889551,500,2316.500941
428.640042,500,2325.529866
431.53772,500,2334.369506
441.986962,500,2343.613251
441.335044,500,2353.051128
420.383573,500,2362.078473
433.314757,500,2370.523922
434.610353,500,2379.49292
426.058827,500,2387.65662
426.277364,500,2396.318305
425.04807,500,2405.066537
443.722526,500,2413.757699
426.074238,500,2422.607445
435.202241,500,2431.19948
437.163388,500,2440.365937
422.213085,500,2448.95113
436.512154,500,2457.567068
419.526477,500,2466.917724
421.842721,500,2476.142519
447.457914,500,2484.362153
433.110624,500,2493.252744
428.833569,500,2502.578797
431.703878,500,2511.858306
441.518559,500,2520.426724
436.390573,500,2529.920641
432.1379,500,2539.330179
425.300356,500,2547.996647
451.22669,500,2557.145031
444.911546,500,2566.084689
433.676653,500,2575.529858
441.295547,500,2583.822026
437.84437,500,2592.906743
438.010336,500,2601.892743
424.940579,500,2610.7932
436.469575,500,2619.351093
435.976375,500,2628.671899
427.594595,500,2637.117621
423.642115,500,2646.044908
430.45036,500,2655.553092
430.89223,500,2664.455088
430.646829,500,2673.400755
435.978362,500,2681.514232
431.519733,500,2690.114693
425.195725,500,2699.388358
448.194661,500,2708.762473
430.36157,500,2718.129898
443.214964,500,2726.229099
435.973359,500,2735.456464
423.961285,500,2744.132143
440.998126,500,2752.901211
427.822455,500,2761.10539
439.844324,500,2770.597232
426.925716,500,2779.803744
432.750017,500,2788.00153
430.820307,500,2797.519613
440.302965,500,2806.013137
428.107202,500,2815.02819
426.933928,500,2823.961404
423.095451,500,2832.865747
432.273589,500,2841.913379
436.243315,500,2851.188227
431.954359,500,2860.33533
429.451102,500,2868.833012
428.249694,500,2878.438695
436.381459,500,2887.32401
432.526803,500,2896.630536
439.470952,500,2905.474439
433.341659,500,2914.755816
428.742919,500,2923.455896
425.194183,500,2932.754449
424.697819,500,2941.960055
435.773206,500,2950.825101
427.53448,500,2960.144381
429.68534,500,2969.905342
430.509344,500,2978.754194
433.317152,500,2987.985339
418.235559,500,2996.853872
436.914175,500,3006.356719
435.156802,500,3014.877099
428.065936,500,3024.53291
438.804428,500,3033.596132
445.089347,500,3042.862626
449.665639,500,3052.102967
441.716222,500,3061.627406
431.524737,500,3070.766596
435.482517,500,3079.777399
447.858225,500,3089.003064
441.614146,500,3098.204656
424.563501,500,3106.830358
445.83846,500,3116.396704
429.557305,500,3125.369304
439.279381,500,3134.619602
435.131768,500,3143.58193
425.840641,500,3152.479209
449.302677,500,3161.095125
437.72716,500,3170.09169
429.29474,500,3179.318005
443.021816,500,3188.863417
439.053529,500,3198.115092
434.224018,500,3207.645189
420.05764,500,3216.902438
422.641116,500,3226.227949
446.516052,500,3235.572363
426.49689,500,3244.246088
428.416334,500,3253.695683
427.261478,500,3263.255978
425.180671,500,3272.648307
427.484309,500,3281.323391
434.73782,500,3291.231153
431.15746,500,3299.711601
433.3797,500,3309.023251
425.964315,500,3318.103573
424.551382,500,3327.322047
419.150327,500,3336.656296
428.906439,500,3346.073659
427.882755,500,3355.1704
434.244671,500,3364.470364
441.186231,500,3373.580102
443.857947,500,3383.143251
456.063427,500,3391.430332
432.02002,500,3399.689547
433.892411,500,3408.519496
427.609748,500,3417.864656
429.904627,500,3427.490953
449.547332,500,3437.488029
425.006207,500,3445.616794
427.310594,500,3454.72972
430.491128,500,3464.139864
430.781177,500,3473.186814
440.064931,500,3482.659318
448.065596,500,3492.444364
441.152712,500,3501.977251
428.620302,500,3511.465805
436.434154,500,3520.87212
438.516872,500,3529.545176
437.828231,500,3539.215192
433.512199,500,3548.842278
443.642323,500,3558.430703
419.62023,500,3568.05619
454.544743,500,3577.11002
444.740566,500,3586.125379
452.005696,500,3594.900271
452.449639,500,3603.506001
438.447786,500,3613.380223
