#{"t_start": 1718801376.9242535, "env_id": "None"}
r,l,t
-1143.198188,500,3.501792
-1238.175726,500,7.60786
-1296.134886,500,12.745536
-1053.30987,500,17.300383
-1128.692538,500,20.948986
-1140.609673,500,24.702026
-1031.549468,500,29.228366
-1345.766437,500,32.976235
-1197.769862,500,48.4861
-990.011942,500,59.431155
-1068.492508,500,67.372265
-1225.871314,500,72.878162
-1150.845045,500,83.601409
-1076.279165,500,95.506458
-923.87956,500,102.397453
-1104.342731,500,115.107995
-1052.846618,500,118.421352
-1150.473772,500,122.399511
-1088.241697,500,125.419296
-1109.586045,500,128.545989
-1263.639089,500,131.811211
-1029.208762,500,136.070647
-1178.1901,500,139.627852
-1248.493956,500,143.331105
-1291.811567,500,147.587688
-1106.698284,500,151.515629
-1213.224408,500,155.061039
-1361.635491,500,159.327728
-1113.047409,500,170.576072
-999.786802,500,175.001162
-960.670552,500,179.023903
-1281.058799,500,182.924303
-1011.481771,500,186.875513
-1020.89314,500,191.036536
-1051.797915,500,196.206831
-1158.671458,500,201.903667
-1152.791621,500,206.133929
-1206.809373,500,210.272364
-1179.677008,500,214.326934
-1152.861406,500,218.556754
-1068.473336,500,222.284723
-898.978803,500,228.120341
-1374.866235,500,235.838413
-1074.551013,500,240.10448
-1085.44841,500,244.028419
-1196.813814,500,247.803487
-1260.501599,500,251.323039
-1067.830094,500,255.623792
-1042.751584,500,261.939991
-1007.357485,500,265.985538
-1131.888862,500,269.688951
-1047.812995,500,273.969694
-1122.339609,500,277.531647
-934.668703,500,281.509747
-1156.587606,500,285.821451
-1217.80487,500,289.584707
-946.318518,500,293.522602
-1087.372117,500,297.591216
-1033.488118,500,301.613984
-1258.315208,500,305.740755
-1060.38636,500,309.859814
-930.192136,500,314.310058
-1171.411462,500,320.820391
-1017.098959,500,324.525918
-1038.41936,500,328.060176
-967.364578,500,331.522627
-1053.25557,500,334.995318
-1056.225713,500,338.649386
-1170.25377,500,342.741198
-1146.294089,500,349.232909
-1062.299262,500,353.515974
-1215.920784,500,357.619537
-1077.682044,500,361.772677
-1234.924336,500,365.820837
-1076.781292,500,370.128854
-1057.855864,500,375.291466
-1074.932712,500,381.327127
-1218.796055,500,389.007654
-1228.902903,500,396.810004
-1251.212397,500,401.124234
-1100.897444,500,404.640324
-1097.252121,500,413.226292
-1088.440593,500,417.751377
-1005.446293,500,422.164407
-1107.290078,500,426.18547
-1119.300122,500,433.843628
-957.038021,500,442.591515
-1278.053548,500,449.796776
-1223.423064,500,456.81176
-1320.749268,500,465.464807
-1087.833087,500,471.979373
-1195.579309,500,476.024479
-1188.837703,500,483.267266
-1159.194948,500,489.732357
-1062.206518,500,497.650263
-1195.895505,500,502.502515
-1208.366625,500,506.397204
-1199.809628,500,510.442683
-1131.345704,500,514.467426
-1207.405713,500,518.513229
-1093.063815,500,522.000632
-1241.428356,500,528.948547
-1099.444909,500,533.382082
-984.220419,500,537.354608
-1174.920375,500,541.449099
-997.933197,500,545.562815
-1183.988954,500,549.205534
-1179.14559,500,552.702269
-900.85616,500,559.577775
-1018.468841,500,566.575288
-1186.891445,500,570.732916
-1018.827497,500,574.839599
-1276.410675,500,579.062684
-1183.859779,500,583.017076
-1023.881708,500,590.154555
-998.427802,500,594.460752
-1112.339683,500,598.327707
-1052.10566,500,602.788346
-1077.846987,500,606.877177
-900.809607,500,610.759958
-948.052374,500,614.335488
-1061.43087,500,621.675298
-1075.633614,500,625.729845
-1084.699595,500,629.299201
-982.25357,500,632.672459
-1153.123372,500,636.120315
-1205.669884,500,639.999666
-1157.938273,500,644.236931
-1208.463325,500,651.116418
-1133.804241,500,655.438137
-1010.45983,500,659.385988
-1221.646939,500,662.792543
-1138.045336,500,666.334044
-1343.335194,500,669.819071
-1225.876785,500,673.938734
-1130.873458,500,681.388743
-1136.207237,500,685.499913
-1278.491147,500,689.858347
-1021.697484,500,694.090267
-1180.930268,500,698.157169
-1050.749455,500,702.139585
-1167.055295,500,708.755495
-1161.458684,500,713.198156
-991.893084,500,717.510381
