#{"t_start": 1718617222.7362347, "env_id": "None"}
r,l,t
-824.901519,500,3.627
-1097.570995,500,7.388973
-1170.633164,500,11.776458
-1168.508877,500,15.883341
-1267.690466,500,18.936268
-1010.987728,500,22.329679
-489.70825,500,25.047434
-898.303798,500,27.962875
-931.710103,500,30.884326
-1080.789683,500,35.165813
-1045.032531,500,38.41516
-1071.280318,500,41.404376
-896.578423,500,44.155778
-848.405456,500,47.006434
-566.279983,500,49.842949
-568.404363,500,52.700739
-561.334331,500,55.425951
-1111.352811,500,58.268717
-951.85859,500,61.19292
-811.089092,500,64.243053
-1166.430217,500,66.972801
-457.875499,500,69.697703
-1167.790925,500,72.547543
-952.031601,500,75.303163
-1189.582579,500,78.255263
-1190.625871,500,81.028875
-655.2652,500,83.898553
-1218.403344,500,86.620289
-1169.649886,500,89.345817
-888.145843,500,92.240231
-944.298642,500,95.35619
-1133.610428,500,98.267024
-937.206345,500,101.270279
-1197.390119,500,104.10255
-559.826146,500,106.954368
-804.866214,500,110.006689
-676.481332,500,112.855204
-1195.865096,500,115.669504
-1201.059225,500,118.406601
-939.69673,500,121.458576
-1065.070139,500,124.231184
-960.223894,500,127.089414
-1233.868863,500,130.329288
-1072.143317,500,134.372201
-1042.267418,500,137.972439
-1211.808254,500,141.181929
-827.501701,500,144.815951
-1183.120997,500,148.109104
-918.754465,500,151.49246
-913.362106,500,154.828
-1174.941166,500,157.939703
-1004.634739,500,161.132032
-1117.34923,500,164.064974
-1334.586382,500,168.226094
-1189.902603,500,171.76971
-685.068546,500,175.601327
-447.842833,500,179.25532
-1160.126761,500,183.058839
-669.024515,500,186.919108
-735.73109,500,190.649019
-1135.80838,500,193.977576
-990.902274,500,197.727866
-1130.127991,500,204.177048
-990.62606,500,208.879514
-1062.76445,500,212.797781
-1040.49471,500,215.658728
-1034.340174,500,218.641103
-1029.270037,500,221.874864
-1149.246745,500,224.791738
-1106.57715,500,227.73184
-955.626956,500,230.664167
-1084.968259,500,235.438606
-1031.195572,500,239.191539
-1075.323223,500,242.67927
-739.538746,500,246.129794
-921.169033,500,249.138719
-1125.251869,500,252.011119
-1098.886636,500,254.74793
-956.606828,500,257.691825
-1163.335483,500,260.785784
-1098.405968,500,263.645781
-1053.034042,500,266.784388
-854.683267,500,269.552307
-1068.392181,500,272.267294
-543.851121,500,275.339451
-1073.039943,500,278.795087
-504.500714,500,282.239537
-838.890273,500,285.676154
-763.198558,500,288.61812
-805.671064,500,292.385293
-1068.406453,500,295.276215
-1158.639155,500,298.156512
-728.114199,500,301.441426
-1253.116589,500,304.901841
-528.685394,500,308.16408
-1161.529777,500,311.427755
-1249.668824,500,314.625773
-1127.132992,500,318.417556
-654.67219,500,321.753207
-1209.421624,500,325.285172
-1040.667853,500,328.55137
-1136.788531,500,332.613491
-1037.605553,500,335.794112
-711.168358,500,338.979847
-694.236026,500,342.173778
-876.818918,500,345.318061
-1130.655672,500,348.34224
-802.982827,500,351.448644
-385.211566,500,354.475516
-1312.593831,500,357.649418
-780.918961,500,361.822169
-934.506788,500,365.218181
-931.430723,500,368.342659
-1234.986681,500,371.52194
-1180.152013,500,375.43198
-929.859595,500,378.826027
-969.048367,500,382.116302
-1046.994885,500,385.461048
-1136.177357,500,388.66492
-969.111896,500,392.141277
-992.73632,500,395.146522
-1256.040564,500,398.205212
-995.429977,500,401.430647
-1260.708245,500,405.54432
-964.655975,500,409.04739
-1136.710445,500,412.49124
-1146.307992,500,416.057039
-810.092704,500,419.808821
-696.398745,500,423.699545
-665.362176,500,427.559092
-577.383328,500,430.546274
-1090.183266,500,433.398464
-1164.804281,500,436.264128
-873.292059,500,439.609208
-714.208353,500,443.187459
-701.077162,500,446.490998
-843.755758,500,449.94324
-752.519954,500,452.908102
-637.20559,500,456.404769
-614.461063,500,459.899985
-1007.797582,500,463.460567
-620.794508,500,467.294553
-1098.507691,500,470.886483
-1007.769948,500,473.865814
-893.198422,500,477.137202
-1201.598245,500,481.231391
-1004.915294,500,484.724402
-1155.583588,500,488.991059
-1101.031625,500,493.769194
-1045.584046,500,497.865971
-1080.3066,500,501.178883
-1018.804796,500,503.934914
-996.224858,500,506.684683
-757.127889,500,509.63664
-561.476356,500,513.037236
-1057.368246,500,516.684507
-1104.691784,500,519.932115
-947.403258,500,524.389239
-1021.540795,500,527.646922
-1182.087924,500,530.728553
-1274.530793,500,533.526276
-1153.898048,500,536.64351
-757.614936,500,539.63564
-653.207386,500,542.401104
-1074.503296,500,545.270228
-769.679929,500,548.025833
-911.961086,500,550.735076
-643.817628,500,553.478821
-1202.483079,500,556.230881
-880.114715,500,558.989328
-843.517243,500,561.720425
-1138.733126,500,564.476948
-1139.750627,500,567.342025
-519.560323,500,570.224938
-720.903599,500,573.304512
-1053.696817,500,576.441508
-1255.341555,500,579.318805
-1191.021331,500,582.452131
-851.893604,500,585.572365
-1012.285512,500,588.57981
-1137.591126,500,591.457162
-945.466357,500,594.226732
-1089.152577,500,597.298648
-1020.612164,500,600.152151
-878.654939,500,602.939244
-1241.371542,500,605.692524
-882.404236,500,608.686163
-1137.709402,500,612.704289
-1005.01683,500,615.469563
-1146.087606,500,618.219899
-651.970998,500,620.948392
-750.898244,500,623.72014
-1014.443894,500,626.44819
-828.285882,500,629.572839
-810.93226,500,632.678482
-1140.79722,500,635.83192
-1149.220059,500,638.700641
-1041.886975,500,641.616245
-987.988839,500,644.487046
-1188.302499,500,647.42554
-1092.50568,500,650.15776
-1114.059167,500,653.159551
-780.662429,500,655.989697
-1225.17765,500,658.754143
-1174.831659,500,661.508021
-734.639075,500,664.321645
-1066.598083,500,667.150263
-783.488172,500,669.888168
-701.603807,500,672.61978
-1137.973323,500,675.558864
-1000.448181,500,678.278495
-740.118094,500,681.016744
-955.80575,500,683.774776
-895.432684,500,687.250563
-1090.426447,500,690.785158
-1260.991986,500,693.533862
-1223.333151,500,696.334033
-923.149408,500,699.382025
-583.109715,500,702.159077
-696.562553,500,704.892983
-1157.059209,500,708.942205
-1285.279802,500,712.395083
-502.331788,500,715.589325
-1273.370336,500,719.25929
-967.687985,500,722.970999
-615.141755,500,726.455416
-989.338641,500,729.716024
-569.869433,500,732.492167
