r,l,t
-178.843,500,5.836377
-422.598732,500,6.237284
-122.938183,500,6.65875
-452.023355,500,7.006262
-414.90023,500,7.641742
-312.989706,500,7.99944
-157.357714,500,8.365563
-385.437033,500,8.733618
-168.396842,500,9.462176
-98.23761,500,9.833277
-376.185778,500,10.187183
-416.136485,500,10.547955
-273.704167,500,11.145921
-232.979766,500,11.581358
-238.131116,500,11.956232
-291.280992,500,12.395311
-170.085876,500,13.122722
-164.963911,500,13.492829
-120.251136,500,13.87365
-403.251157,500,14.266182
-345.837805,500,14.919042
-242.178359,500,15.287444
-345.55247,500,15.681069
-270.933258,500,16.125264
-363.248013,500,16.797723
-514.153888,500,17.218387
-158.484992,500,17.592774
-301.14042,500,17.960197
-414.766483,500,18.704233
-237.35405,500,19.07631
-354.538411,500,19.446631
-520.443067,500,19.813749
-489.45592,500,20.459402
-290.448051,500,20.900511
-253.859813,500,21.279255
-436.69648,500,21.645914
-466.900786,500,22.375515
-344.19872,500,22.794866
-446.750039,500,23.224002
-326.452001,500,23.591897
-394.166376,500,24.203319
-344.477656,500,24.630824
-128.549404,500,25.002737
-190.52951,500,25.420936
-458.526473,500,25.835278
-108.474264,500,26.511696
-352.182497,500,26.880463
-458.192279,500,27.25147
-377.673337,500,27.621028
-248.20001,500,28.285131
539.950269,500,28.656942
-139.066571,500,29.102662
-218.135832,500,29.480478
-432.265213,500,30.150072
-156.438406,500,30.520235
-174.29808,500,30.945196
-176.568672,500,31.311476
-410.838313,500,32.035095
-324.460958,500,32.467981
-181.769689,500,32.83797
-407.421836,500,33.209094
-293.373583,500,33.945752
-296.523776,500,34.333671
-353.532405,500,34.721575
-469.908622,500,35.151248
-497.609707,500,35.828522
-139.239118,500,36.261759
-397.292533,500,36.668757
-403.87209,500,37.04867
-409.28466,500,37.668723
-95.421682,500,38.034135
-369.476874,500,38.470385
-78.454527,500,38.841688
-180.833131,500,39.49264
-313.682683,500,39.858689
-383.583188,500,40.222146
-335.623891,500,40.58705
-448.892512,500,41.213499
-274.545069,500,41.587544
-228.852231,500,41.960341
-155.336114,500,42.32982
-384.861945,500,43.036414
-246.69111,500,43.4041
-302.978261,500,43.781592
-66.851176,500,44.152543
-186.66444,500,44.511242
-195.865733,500,45.263858
-282.657013,500,45.700593
-308.866135,500,46.071611
-235.170477,500,46.43503
-274.333365,500,47.062165
-146.729048,500,47.424318
-334.023258,500,47.787145
-96.681641,500,48.148427
-328.908127,500,48.835434
-181.363074,500,49.196895
-358.370623,500,49.556223
-359.414609,500,49.915588
-158.906689,500,50.586682
-122.510886,500,50.944646
-442.879543,500,51.310568
-201.548095,500,51.672336
-320.650006,500,52.35246
-308.870454,500,52.720014
-406.611295,500,53.080186
-133.984636,500,53.43969
-503.265137,500,54.144332
-241.796874,500,54.512859
22.463714,500,54.884046
-113.444223,500,55.255637
-86.54915,500,55.918699
-290.382755,500,56.279251
-201.402465,500,56.641184
-188.408819,500,57.00331
-112.93878,500,57.700516
-377.30603,500,58.060278
-271.840436,500,58.418539
-234.657814,500,58.781404
-142.377364,500,59.396806
-331.196097,500,59.817989
-121.11937,500,60.183323
-317.221075,500,60.598288
-231.499063,500,61.173758
-303.630867,500,61.547474
-289.166429,500,61.911587
-392.278019,500,62.274958
-385.067479,500,62.941283
-378.57744,500,63.386573
-388.164828,500,63.833946
-306.178458,500,64.216463
-360.913101,500,64.692152
-109.318741,500,65.351506
-306.018033,500,65.77825
-280.547693,500,66.201909
-182.697306,500,66.615002
