r,l,t
-107.365304,500,5.762558
-423.429799,500,6.163254
-119.992324,500,6.5846
-397.520721,500,6.936105
-364.492339,500,7.622299
-300.31156,500,7.990508
-96.230035,500,8.373415
-334.562184,500,8.769037
-144.775629,500,9.465818
-98.241828,500,9.829981
-341.317592,500,10.18806
-359.561742,500,10.541536
-211.321177,500,11.207313
-228.85211,500,11.654524
-193.968613,500,12.009926
-296.375098,500,12.428223
-212.202444,500,13.031352
-138.360323,500,13.384406
-173.329234,500,13.740638
-332.779826,500,14.094607
-291.62681,500,14.707344
-217.963264,500,15.061599
-291.611669,500,15.415254
-244.796386,500,15.837338
-330.861032,500,16.532792
-500.06713,500,16.949419
-160.239188,500,17.312127
-246.813299,500,17.666538
-346.457843,500,18.283058
-176.697378,500,18.6366
-296.104662,500,18.989917
-466.66351,500,19.357538
-436.50584,500,20.023746
-299.811544,500,20.459002
-185.428287,500,20.830578
-388.893188,500,21.181931
-465.583016,500,21.913967
-345.589123,500,22.328595
-439.462204,500,22.73464
-256.740276,500,23.083485
-344.063303,500,23.700622
-346.902687,500,24.119834
1743.731595,500,24.469407
-199.630061,500,24.87914
-312.054538,500,25.294957
-373.427525,500,26.042151
-304.549291,500,26.390884
-417.496679,500,26.739479
-297.094199,500,27.087739
-187.175618,500,27.77132
-84.025642,500,28.130589
-137.463905,500,28.566302
-147.251572,500,28.925541
-364.301757,500,29.569665
-118.56692,500,29.921059
-183.850187,500,30.324547
-162.871213,500,30.67242
-348.599411,500,31.281227
-336.701369,500,31.703995
-167.708496,500,32.052264
-347.56278,500,32.40109
-315.400417,500,33.080602
-221.909167,500,33.430961
-292.045612,500,33.779685
-458.607945,500,34.18405
-438.105565,500,34.732241
-127.665929,500,35.149286
-332.93642,500,35.498062
-360.813099,500,35.845458
-344.753632,500,36.406937
15061.713891,500,36.758646
-364.179157,500,37.17894
2946.500733,500,37.525668
-140.947246,500,38.213479
-306.631988,500,38.562918
-320.558832,500,38.910933
-268.593307,500,39.258814
-394.900022,500,39.947305
-193.297325,500,40.364191
-213.017041,500,40.730291
-192.190785,500,41.087837
-316.783165,500,41.756449
-268.43757,500,42.107239
-271.116746,500,42.456624
402.081679,500,42.805943
-165.709675,500,43.153581
-203.406763,500,43.90241
-300.946472,500,44.272395
-265.745196,500,44.62116
-171.027999,500,44.970295
-217.495669,500,45.624583
-203.451744,500,45.975235
-294.070114,500,46.38777
12761.372676,500,46.735656
-310.766915,500,47.404254
-133.862841,500,47.764684
-315.247264,500,48.112602
-283.455317,500,48.460092
-160.467009,500,49.175091
-111.057196,500,49.529114
-382.262685,500,49.876386
-209.218789,500,50.226388
-259.697592,500,50.90622
-300.618497,500,51.260997
-354.455061,500,51.626399
-92.5783,500,52.013851
-502.63077,500,52.709748
-211.870429,500,53.058706
-126.203396,500,53.406816
-124.643244,500,53.754236
-136.877817,500,54.387408
-226.997797,500,54.750306
-207.506593,500,55.109448
-202.80728,500,55.469442
-66.026622,500,56.146993
-308.440964,500,56.501432
-216.036375,500,56.848802
-190.635725,500,57.196296
-140.428119,500,57.882308
-361.78803,500,58.30971
-175.090283,500,58.658519
-334.912697,500,59.065932
-230.492598,500,59.71801
-250.700414,500,60.080748
-314.860171,500,60.439279
-334.13231,500,60.798279
-316.49304,500,61.450575
-370.25433,500,61.880156
-413.988241,500,62.292857
-302.177092,500,62.655842
-359.601702,500,63.079703
-120.715302,500,63.746223
-302.503419,500,64.175369
-273.813024,500,64.598192
-197.670968,500,65.011373
-123.514171,500,65.703822
-146.662407,500,66.06252
-210.338392,500,66.40998
-345.658316,500,66.759012
-344.606623,500,67.433293
-489.80949,500,67.846402
-391.112826,500,68.257895
-313.763455,500,68.67005
-343.072844,500,69.41712
-163.023712,500,69.781983
-363.505983,500,70.140698
-148.323623,500,70.498788
-141.920268,500,71.152024
-330.01501,500,71.503956
-310.292238,500,71.861715
-448.795595,500,72.292902
-388.583346,500,72.893411
-196.2276,500,73.24689
-351.702762,500,73.595607
-317.872609,500,73.954486
-359.017064,500,74.543229
-187.654985,500,74.899677
-345.849606,500,75.249202
-244.922582,500,75.606738
-294.563451,500,76.30545
-404.749094,500,76.655245
-328.775224,500,77.06377
-334.760696,500,77.412465
-274.082476,500,78.052456
-204.696738,500,78.40518
-376.465541,500,78.820367
-271.49485,500,79.167953
-354.631155,500,79.826809
-339.734594,500,80.256701
-220.287408,500,80.617383
-138.19427,500,80.967716
-329.906913,500,81.316342
-211.475382,500,81.901572
-304.177534,500,82.255003
-350.563608,500,82.604319
-112.240141,500,83.011276
-327.403574,500,83.657394
-326.385947,500,84.10379
-413.490221,500,84.46345
-199.022376,500,84.821801
-157.094909,500,85.444569
-404.546351,500,85.818082
-283.674863,500,86.174792
-310.536041,500,86.530865
-123.252305,500,87.211814
-263.815425,500,87.573465
-161.369197,500,87.931765
-222.152482,500,88.281348
-156.277452,500,88.952219
-276.716002,500,89.304018
-120.533285,500,89.652702
-158.023969,500,90.071729
-196.845741,500,90.713316
-135.623662,500,91.065052
-308.347971,500,91.414152
-232.448221,500,91.764752
-182.368119,500,92.316183
-174.789962,500,92.672613
-357.596279,500,93.029706
-341.481958,500,93.387656
-214.586637,500,94.103788
-224.802234,500,94.535191
-184.026137,500,94.886519
-153.70212,500,95.243797
-294.825204,500,95.946164
-216.015359,500,96.357358
-240.477121,500,96.705962
-353.586989,500,97.05375
-298.049254,500,97.752465
-94.234823,500,98.103771
-351.043867,500,98.453098
-207.566164,500,98.802925
-297.56919,500,99.442313
-271.567902,500,99.860457
-133.106771,500,100.270298
-103.789869,500,100.686995
-293.567198,500,101.035451
-122.890306,500,101.718072
-245.924215,500,102.12529
-345.084382,500,102.47484
-188.397314,500,102.828676
-169.495967,500,103.482451
-227.661733,500,103.897283
-332.993076,500,104.24518
-250.658766,500,104.662748
-278.674363,500,105.288291
-261.671107,500,105.638292
427.713348,500,105.996162
-256.600128,500,106.346426
-188.116447,500,107.022759
-339.673592,500,107.383648
-269.20664,500,107.80061
-474.876978,500,108.204472
-404.483698,500,108.857994
-337.77881,500,109.214904
19468.696293,500,109.578418
-416.999746,500,109.927697
-263.643745,500,110.546431
-66.861596,500,110.898292
-205.247885,500,111.305551
-271.427681,500,111.653112
-204.450066,500,112.274673
-204.550236,500,112.624704
-345.612257,500,112.974155
-249.15066,500,113.321566
-165.049715,500,113.962942
-371.418778,500,114.313156
-233.222709,500,114.733202
-353.990901,500,115.081268
-175.659187,500,115.800479
-231.117293,500,116.230655
-204.833293,500,116.577765
-175.236638,500,116.926298
-293.520769,500,117.57779
-342.403319,500,117.993281
-307.702068,500,118.340785
-391.79215,500,118.750906
-120.245549,500,119.100099
-153.54357,500,119.745822
-242.79621,500,120.153357
-176.354511,500,120.511667
-117.933789,500,120.859111
-302.512117,500,121.537961
-109.426625,500,121.891721
-145.643759,500,122.239754
-249.276154,500,122.58884
-384.811521,500,123.308841
-220.903156,500,123.662546
-182.211574,500,124.011078
-226.637074,500,124.419141
-106.461977,500,125.069007
-55.86434,500,125.432045
-210.680078,500,125.790631
-201.435668,500,126.143042
-376.314505,500,126.891059
-314.468294,500,127.241724
-227.33276,500,127.591069
-337.489628,500,127.939482
-124.75379,500,128.521684
-173.782631,500,128.933048
-295.212063,500,129.280601
-345.261653,500,129.679443
-282.270075,500,130.289893
-140.278635,500,130.644266
-438.12452,500,130.992607
-222.692208,500,131.339624
-206.811563,500,131.99289
-213.741107,500,132.403423
-212.867282,500,132.76446
-313.942086,500,133.121372
-315.010894,500,133.807229
-196.296415,500,134.161535
-171.036345,500,134.565972
-383.318402,500,134.915208
-146.235231,500,135.508883
-234.573484,500,135.862257
-389.813529,500,136.211437
-252.08039,500,136.560097
-162.628839,500,136.906472
-146.302481,500,137.49494
-265.44198,500,137.90777
-252.71007,500,138.325397
-156.873953,500,138.74528
-282.430656,500,139.373202
-218.116841,500,139.786841
-205.804576,500,140.202512
-342.985813,500,140.5498
-176.964049,500,141.238071
-390.924854,500,141.599043
-347.488138,500,141.95716
-114.035537,500,142.305764
-353.02923,500,142.987809
-345.00457,500,143.351129
-141.836366,500,143.706995
-264.00059,500,144.054728
-309.88563,500,144.738299
-230.923259,500,145.107644
-157.851613,500,145.45558
-308.337247,500,145.80443
-84.801217,500,146.482273
-201.48769,500,146.835692
-336.805099,500,147.238727
-178.444594,500,147.589879
-289.812916,500,148.213754
-357.081486,500,148.563756
-471.084451,500,148.971811
-143.234586,500,149.319401
-361.179747,500,149.948628
-307.712418,500,150.302274
-294.685607,500,150.722895
-390.112573,500,151.072035
-200.279514,500,151.684696
-197.378802,500,152.040772
-302.503973,500,152.387138
-208.249674,500,152.734364
-213.796578,500,153.342161
-145.108955,500,153.696992
-8.903484,500,154.045909
-263.933133,500,154.394797
-189.632023,500,154.995139
-298.470288,500,155.418895
-331.000708,500,155.767951
-231.338244,500,156.119094
-184.619174,500,156.477983
-302.460876,500,157.101248
-223.019458,500,157.451786
-345.165783,500,157.871086
-143.74518,500,158.219795
-336.268869,500,158.876865
-338.01929,500,159.233087
-376.042188,500,159.581365
-102.516876,500,159.991336
-295.111226,500,160.636993
-165.387236,500,160.987914
-246.759755,500,161.339341
-309.534763,500,161.689716
-226.817899,500,162.311359
-276.540907,500,162.720353
-372.064182,500,163.068315
-350.926806,500,163.476312
-427.96652,500,164.11135
-308.836581,500,164.463812
-143.536482,500,164.813549
-373.901565,500,165.164597
-197.289524,500,165.768987
-205.652773,500,166.121309
-85.957991,500,166.470669
-335.928192,500,166.885184
-353.164219,500,167.462348
-175.898869,500,167.822992
-121.352776,500,168.191138
-325.863649,500,168.62275
-64.989204,500,169.263243
-116.267289,500,169.615673
-139.853282,500,170.035639
-306.220452,500,170.384006
-82.118457,500,171.052934
-344.542836,500,171.40199
-206.336659,500,171.750327
-126.693167,500,172.099651
-96.203082,500,172.767758
-309.966646,500,173.187144
-378.764664,500,173.60313
-419.193277,500,174.007886
-90.936702,500,174.35929
-150.957057,500,175.020765
-364.024866,500,175.429199
-287.721196,500,175.777784
-132.101905,500,176.199149
-431.68913,500,176.839758
-521.084216,500,177.245076
-330.234143,500,177.597606
-307.098127,500,178.002561
-206.755655,500,178.574929
-170.491151,500,178.926192
-157.653654,500,179.274876
-319.45824,500,179.624773
-114.736517,500,180.315428
-255.225948,500,180.668472
-182.291163,500,181.017562
-346.800657,500,181.365141
-443.105956,500,182.087859
-198.400019,500,182.439563
-385.697903,500,182.788173
-298.478405,500,183.135757
-307.901265,500,183.755943
-339.607579,500,184.115689
-186.707799,500,184.473634
-380.991513,500,184.887503
-120.49117,500,185.508646
-249.147576,500,185.860727
-161.528306,500,186.210854
-187.483961,500,186.615015
-105.831803,500,187.308309
-188.297495,500,187.664301
-177.328737,500,188.024061
-376.575405,500,188.391086
-303.355665,500,189.068832
-240.738495,500,189.423497
-439.80859,500,189.822138
-218.629995,500,190.243601
-292.548634,500,190.92338
-253.80122,500,191.278145
-276.040633,500,191.645356
-249.389528,500,191.994417
-213.329026,500,192.685413
-88.623319,500,193.052875
-93.369676,500,193.40747
-377.236126,500,193.755845
-234.252701,500,194.106879
-440.830519,500,194.724537
-290.020886,500,195.076339
-67.924496,500,195.425329
-120.457903,500,195.773672
-222.224248,500,196.436157
-242.801909,500,196.793298
-398.815436,500,197.178815
-110.937317,500,197.528569
-257.824926,500,198.235042
-176.28704,500,198.657938
-225.466516,500,199.083135
-408.789518,500,199.490074
-114.9745,500,200.162791
-242.603676,500,200.514643
-170.842975,500,200.862671
-278.87214,500,201.212759
-148.948371,500,201.877224
-258.006503,500,202.301576
-239.769846,500,202.649019
-209.158331,500,202.997576
-369.282533,500,203.72805
-315.231243,500,204.08613
-273.100601,500,204.433189
-180.613959,500,204.782279
-181.640438,500,205.420213
-155.824163,500,205.834921
-275.101179,500,206.183163
-266.116366,500,206.532169
-136.034309,500,207.121839
-265.63685,500,207.486575
-165.960305,500,207.84615
-262.371091,500,208.197147
-417.270693,500,208.874307
-234.552913,500,209.231418
-226.015458,500,209.582878
-352.111313,500,209.931719
-140.137451,500,210.621243
-242.531738,500,210.980355
-280.961756,500,211.355694
-84.110867,500,211.713968
-293.170221,500,212.070596
-427.649116,500,212.744549
-120.899784,500,213.149052
-245.837857,500,213.500529
-301.847463,500,213.849935
-253.142643,500,214.501472
-239.297014,500,214.852475
-234.981148,500,215.20167
-289.794984,500,215.552461
-236.560531,500,216.170655
-206.58537,500,216.586785
-336.215707,500,216.933382
-147.420269,500,217.284788
-195.806429,500,217.966094
-165.514117,500,218.3175
-347.014213,500,218.721509
-190.771881,500,219.06983
-219.772734,500,219.763414
-223.278403,500,220.197349
-281.460637,500,220.547073
-256.421827,500,220.897123
-265.515487,500,221.594646
-309.691026,500,222.021158
-172.209222,500,222.371534
-277.793252,500,222.726848
-188.171309,500,223.340768
-153.113692,500,223.69627
-291.555587,500,224.117051
-158.34361,500,224.467768
-188.336615,500,225.093596
-133.859979,500,225.454254
-277.823874,500,225.802709
-203.749373,500,226.150798
-207.988071,500,226.780862
-133.136863,500,227.134342
-204.176455,500,227.485008
-132.188121,500,227.892091
-101.492504,500,228.541425
-324.943415,500,228.892111
-167.170283,500,229.302979
-452.628496,500,229.712757
-389.057541,500,230.115942
-19.399847,500,230.709699
-375.200862,500,231.06272
-226.448508,500,231.411666
-140.998614,500,231.761008
-169.733073,500,232.447798
-219.231513,500,232.801507
-310.876299,500,233.153732
-361.388881,500,233.555708
-324.088016,500,234.239757
-193.558691,500,234.590037
-300.589295,500,234.938459
849.769915,500,235.286239
-229.950833,500,235.973855
-202.927613,500,236.324545
-248.89835,500,236.67514
-227.769549,500,237.02321
-287.620042,500,237.62543
-205.996603,500,237.979532
-304.709635,500,238.329428
-376.358676,500,238.68041
24.722396,500,239.31594
-170.446963,500,239.669821
-236.055883,500,240.074634
-132.70435,500,240.421816
-206.414646,500,241.057723
-307.033954,500,241.409294
-224.186436,500,241.756962
-94.387608,500,242.106045
-73.133889,500,242.742024
-136.213533,500,243.096919
-193.809026,500,243.446481
-273.575489,500,243.799545
-172.760505,500,244.400352
-251.277261,500,244.752179
-222.195768,500,245.101946
-331.07609,500,245.519174
-232.545966,500,246.086061
-298.865191,500,246.437475
-280.148018,500,246.785521
